target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
07423445-3801112,665,NGC2451a,115.64354,-38.0198,51.8,4328,4.363,0.94,11.994,14.71,0.3,-1.29
07423479-3800028,665,NGC2451a,115.64496,-38.0008,34.32,5823,3.42,1,13.642,147.21,0.38,-2
07423505-3814442,665,NGC2451a,115.64604,-38.2456,78.11,4914,2.283,1.016,10.927,18.97,0.28,-0.89
07423512-3758285,665,NGC2451a,115.64633,-37.9746,71.02,5149,3.196,1.013,12.076,91.54,0.28,-1.35
07423566-3800599,665,NGC2451a,115.64858,-38.0166,91.52,4352,4.609,0.927,12.231,33.54,0.26,-1.36
07423599-3841128,665,NGC2451a,115.64996,-38.6869,61.74,4747,2.691,1.013,11.417,84.27,0.27,-1.09
07423656-3839460,665,NGC2451a,115.65233,-38.6628,29.74,3512,4.597,0.845,12.869,15.05,0.44,-1.74
07423814-3839484,665,NGC2451a,115.65892,-38.6634,56.33,4862,2.946,1.007,12.599,73.49,0.28,-1.57
07423904-3802367,665,NGC2451a,115.66267,-38.0435,15.67,3356,4.119,0.869,13.674,16.3,0.84,-2.09
07423945-3817148,665,NGC2451a,115.66438,-38.2874,29.62,4952,2.621,1.025,13.311,136.32,0.41,-1.89
07424093-3755408,665,NGC2451a,115.67054,-37.928,52.14,4912,3.37,1.013,12.41,51.22,0.32,-1.51
07424109-3830287,665,NGC2451a,115.67121,-38.508,49.6,5284,3.371,0.991,12.877,64.17,0.3,-1.68
07424115-3758062,665,NGC2451a,115.67146,-37.9684,19.44,4729,1.928,1.027,13.606,148.49,0.62,-1.99
07424119-3834418,665,NGC2451a,115.67163,-38.5783,28.96,3329,4.626,0.839,12.11,23.49,0.3,-1.44
07424134-3810127,665,NGC2451a,115.67225,-38.1702,59.86,4928,3.064,1.007,12.746,103.67,0.28,-1.63
07424179-3832382,665,NGC2451a,115.67413,-38.5439,58.69,4840,2.595,1.01,12.377,149.27,0.27,-1.5
07424195-3754045,665,NGC2451a,115.67479,-37.9012,49.19,5427,3.18,1.01,12.251,124.73,0.34,-1.43
07424241-3801456,665,NGC2451a,115.67671,-38.0293,46.82,4685,4.425,0.952,13.349,8.99,0.35,-1.82
07424255-3831130,665,NGC2451a,115.67729,-38.5203,66.73,4945,3.05,1.007,12.293,26,0.27,-1.43
07424259-3757036,665,NGC2451a,115.67746,-37.951,74.37,4698,2.598,1.024,11.89,119.44,0.26,-1.3
07424380-3832495,665,NGC2451a,115.6825,-38.5471,52.29,4881,2.594,1.019,11.824,59.87,0.3,-1.26
07424477-3758240,665,NGC2451a,115.68654,-37.9733,83.16,4597,2.704,1.003,11.839,17.75,0.26,-1.27
07424513-3758028,665,NGC2451a,115.68804,-37.9674,48.83,5110,3.308,0.998,13.099,126.58,0.34,-1.77
07424624-3833250,665,NGC2451a,115.69267,-38.5569,47.45,5186,2.743,1.015,13.041,124.91,0.36,-1.73
07424656-3753385,665,NGC2451a,115.694,-37.894,33.66,4841,3.2,1.005,12.855,64.02,0.33,-1.68
07424713-3829535,665,NGC2451a,115.69638,-38.4982,140.36,5013,3.307,1.003,10.084,32.36,0.25,-0.42
07424733-3831405,665,NGC2451a,115.69721,-38.5279,31.2,5151,2.73,1.018,13.43,135.64,0.41,-1.92
07424809-3758047,665,NGC2451a,115.70037,-37.968,37.01,4959,3.371,0.994,13.409,119.75,0.37,-1.91
07424823-3755582,665,NGC2451a,115.70096,-37.9328,37.51,5099,2.653,1.016,13.385,143.09,0.38,-1.89
07424840-3840489,665,NGC2451a,115.70167,-38.6803,28.31,5388,3.43,0.999,13.715,92.58,0.43,-2.01
07425004-3803242,665,NGC2451a,115.7085,-38.0567,13.13,3219,2.988,0.953,13.547,672.33,2.3,-2.07
07425226-3829462,665,NGC2451a,115.71775,-38.4962,34.02,4144,4.509,0.892,13.277,52.65,0.35,-1.84
07425237-3827433,665,NGC2451a,115.71821,-38.462,49.06,4908,2.617,1.009,11.68,61.17,0.3,-1.2
07425263-3841406,665,NGC2451a,115.71929,-38.6946,56.91,4902,3.375,0.995,11.954,-18.57,0.3,-1.23
07425298-3843235,665,NGC2451a,115.72075,-38.7232,34.04,4718,3.051,0.996,13.281,30.35,0.34,-1.84
07425432-3842577,665,NGC2451a,115.72633,-38.716,96.34,5002,3.322,0.999,10.998,1.69,0.29,-0.79
07425461-3833309,665,NGC2451a,115.72754,-38.5586,47.84,3809,4.56,0.866,12.464,14.81,0.29,-1.55
07425496-3826123,665,NGC2451a,115.729,-38.4368,29.7,4889,2.624,1.006,13.215,119.61,0.43,-1.83
07425530-3754470,665,NGC2451a,115.73042,-37.9131,48.14,5177,2.813,1.023,12.607,43.33,0.33,-1.58
07425532-3815195,665,NGC2451a,115.7305,-38.2554,52.64,4886,2.678,1.018,12.845,75.05,0.31,-1.68
07425630-3827454,665,NGC2451a,115.73458,-38.4626,39.87,4998,2.761,1.021,13.071,104.78,0.32,-1.75
07425653-3809171,665,NGC2451a,115.73554,-38.1548,62.47,4085,4.389,0.953,12.466,35.26,0.88,-1.52
07425690-3808544,665,NGC2451a,115.73708,-38.1484,33.97,4647,2.574,1.009,13.428,84.82,0.32,-1.92
