target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
10430061-5931462,665,Trumpler14,160.75254,-59.5295,38.34,6494,4.487,0.99,13.418,49.29,0.78,1.44
10430716-5931209,665,Trumpler14,160.77983,-59.5225,59.6,33549,4.75,1.003,11.17,295,2.66,1.7
10431150-5931530,665,Trumpler14,160.79792,-59.5314,69.09,6316,3.994,1,11.929,-12.42,0.44,2.33
10431485-5933354,665,Trumpler14,160.81187,-59.5598,46.46,6786,3.906,1.003,13.08,-12.41,0.97,1.42
10431499-5933413,665,Trumpler14,160.81246,-59.5615,30.01,5062,4.213,0.981,12.135,9.08,0.65,1.7
10432086-5929596,665,Trumpler14,160.83692,-59.4999,58.8,13333,4.222,0.993,12.805,-8.29,5.8,1.81
10432699-5935444,665,Trumpler14,160.86246,-59.5957,204.3,4907,2.523,1.02,9.524,47.12,0.24,2.52
10433077-5935580,665,Trumpler14,160.87821,-59.5994,49.32,6202,4.611,0.989,14.22,16.34,0.63,1.2
10433196-5933564,665,Trumpler14,160.88317,-59.5657,14.73,5693,3.168,1.011,12.575,-1.5,3.39,0.73
10433225-5935115,665,Trumpler14,160.88438,-59.5865,43.53,6101,3.99,1.016,13.431,7.04,2.49,1.01
10433353-5934383,665,Trumpler14,160.88971,-59.5773,25.66,12037,3.642,0.993,12.687,36.82,16.91,1.74
10433408-5931342,665,Trumpler14,160.892,-59.5262,16.57,5628,3.571,1.002,12.157,37.93,8.82,2.04
10433490-5934035,665,Trumpler14,160.89542,-59.5676,67.44,6150,4.038,1.001,13.267,-38.3,0.38,1.35
10433576-5931477,665,Trumpler14,160.899,-59.5299,103.24,4904,2.546,1.015,10.294,26.5,0.25,2.2
10433612-5932053,665,Trumpler14,160.9005,-59.5348,123.35,6917,3.857,1.002,11.483,-27.79,0.32,2.26
10433664-5934510,665,Trumpler14,160.90267,-59.5808,90,29218,4.707,1.003,11.296,69.64,0.49,2.1
10433677-5933152,665,Trumpler14,160.90321,-59.5542,64.19,6337,4,0.998,11.887,-20.47,2.19,1.68
10433677-5936482,665,Trumpler14,160.90321,-59.6134,26.38,4842,4.525,0.967,13.857,-4.21,0.43,0.7
10433750-5936583,665,Trumpler14,160.90625,-59.6162,51,13794,3.905,0.984,12.654,204.98,15.41,2.14
10433866-5934444,665,Trumpler14,160.91108,-59.579,200.55,25234,4.023,1.002,10.599,1.34,1.78,2.69
10433880-5933018,665,Trumpler14,160.91167,-59.5505,50.72,5604,4.15,-999,12.68,-10.53,2.18,1.16
10433880-5934238,665,Trumpler14,160.91167,-59.5733,25.08,7055,3.5,1.025,12.828,-5.87,0.77,0.79
10433949-5931460,665,Trumpler14,160.91454,-59.5294,64.21,14837,4.71,1.002,12.682,1.48,3.84,1.71
10433966-5935573,665,Trumpler14,160.91525,-59.5992,40.9,15148,5,1.001,11.938,614,36.23,1.56
10434009-5933321,665,Trumpler14,160.91704,-59.5589,59.65,5571,3.99,0.995,13.376,20.87,0.31,1.24
10434013-5933561,665,Trumpler14,160.91721,-59.5656,14.63,5018,3.127,0.999,12.214,-6.81,0.86,0.91
10434017-5935581,665,Trumpler14,160.91737,-59.5995,107.05,6910,3.97,0.997,11.962,2.91,0.54,2.27
10434018-5934496,665,Trumpler14,160.91742,-59.5804,47.96,4862,3.57,-999,11.957,-5.43,1.51,1.15
10434042-5932584,665,Trumpler14,160.91842,-59.5496,98.21,12750,4.537,1.001,11.178,396.81,4.66,2.08
10434066-5938366,665,Trumpler14,160.91942,-59.6435,155.55,6605,4.104,0.999,11.552,-7.06,0.31,2.44
10434145-5933528,665,Trumpler14,160.92271,-59.5647,134.96,6833,4.5,0.993,10.552,150.84,6.22,2.21
10434176-5932588,665,Trumpler14,160.924,-59.5497,62.34,13333,4.111,0.999,11.667,403.07,6.54,1.78
10434190-5933530,665,Trumpler14,160.92458,-59.5647,16.12,5177,2.752,1.03,10.552,-5.3,0.77,2.21
10434211-5932208,665,Trumpler14,160.92546,-59.5391,76.92,5711,2.83,1.006,11.623,12.91,0.29,1.76
10434260-5932526,665,Trumpler14,160.9275,-59.5479,19.04,4452,2.815,0.993,10.954,-5.12,0.62,1
10434269-5935541,665,Trumpler14,160.92788,-59.5984,15.84,4675,4.954,0.946,13.124,-2.02,4.18,0.65
10434270-5934436,665,Trumpler14,160.92792,-59.5788,74.86,16000,3.683,0.997,12.136,-15.77,5.41,1.81
10434304-5935310,665,Trumpler14,160.92933,-59.5919,53.66,9559,4,1.006,13.133,150,0.42,1.15
10434312-5935243,665,Trumpler14,160.92967,-59.5901,39.73,13000,4.992,0.987,12.383,295,1.54,1.5
10434327-5934323,665,Trumpler14,160.93029,-59.5756,3.72,-999,-999,-999,13.1,489,47.87,-99
10434332-5941053,665,Trumpler14,160.9305,-59.6848,7.43,9500,4,-999,12.587,409.53,24.31,0.81
10434350-5941037,665,Trumpler14,160.93125,-59.6844,28.71,3788,4.68,0.817,12.587,-5.54,1.21,0.81
10434352-5936132,665,Trumpler14,160.93133,-59.6037,31.07,6098,3.57,1.037,13.234,-13.88,5.63,0.74
10434356-5935451,665,Trumpler14,160.9315,-59.5959,119.89,32917,5,0.998,10.938,-15.49,0.3,2.14
10434389-5935564,665,Trumpler14,160.93288,-59.599,17.09,9305,3.5,1.004,13.432,-12.6,1.05,0.59
10434401-5942045,665,Trumpler14,160.93338,-59.7013,93.16,5784,4.586,0.98,12.509,20.92,0.27,1.67
10434429-5934257,665,Trumpler14,160.93454,-59.5738,105.22,6157,4.26,-999,10.019,302.2,9.85,2.09
10434432-5937323,665,Trumpler14,160.93467,-59.6256,59.8,6478,3.21,1.005,13.59,7.97,0.62,1.37
10434485-5934567,665,Trumpler14,160.93687,-59.5824,41.68,4765,3.38,1.008,12.244,-4.02,0.64,1.04
10434581-5929497,665,Trumpler14,160.94088,-59.4971,34.08,15333,2,0.997,11.593,-6.85,1.63,1.52
10434581-5933268,665,Trumpler14,160.94088,-59.5574,36.81,4813,3.5,-999,10.979,-81.69,12.2,1.38
10434588-5933467,665,Trumpler14,160.94117,-59.563,54.09,5833,3.333,-999,12.621,-75.17,26.72,1.25
10434590-5934573,665,Trumpler14,160.94125,-59.5826,28.86,5120,3.75,1.006,13.323,-11.26,0.83,0.78
10434601-5933287,665,Trumpler14,160.94171,-59.558,85.53,6098,3.6,-999,10.785,-77.23,2.75,1.62
10434602-5933055,665,Trumpler14,160.94175,-59.5515,46.28,9250,3.914,0.991,13.288,85,0.87,1.19
10434610-5934384,665,Trumpler14,160.94208,-59.5773,13.06,9250,3.5,0.966,11.657,-4.52,1.54,2.31
10434643-5934424,665,Trumpler14,160.94346,-59.5784,164.24,5850,4.18,-999,9.252,364.31,4.96,2.55
10434660-5939092,665,Trumpler14,160.94417,-59.6526,7.72,-999,-999,-999,14.393,298.7,15.27,-99
10434688-5932338,665,Trumpler14,160.94533,-59.5427,19.03,4838,3.5,-999,13.227,-18.14,6.44,0.71
10434698-5933182,665,Trumpler14,160.94575,-59.5551,33.15,5023,3.333,1.013,11.665,-10.59,0.68,1.25
10434757-5933405,665,Trumpler14,160.94821,-59.5613,11.3,4522,4.115,0.955,12.494,-16.02,2.25,0.8
10434767-5942392,665,Trumpler14,160.94862,-59.7109,21.3,-999,-999,-999,13.047,129.41,16,-99
10434782-5940355,665,Trumpler14,160.94925,-59.6765,167.29,5950,4.14,0.996,12.189,32.48,0.3,2.09
10434798-5933591,665,Trumpler14,160.94992,-59.5664,117.82,20950,4.25,-999,11.628,20,0.33,2.29
10434823-5934230,665,Trumpler14,160.95096,-59.5731,10.6,5241,5.69,0.963,12.718,-3.86,1.24,0.72
10434841-5942307,665,Trumpler14,160.95171,-59.7085,15.43,10000,3.5,-999,13.112,208.72,14.85,0.74
10434859-5934312,665,Trumpler14,160.95246,-59.5753,30.48,3932,4.427,0.853,13.554,14.14,0.69,0.76
10434865-5940486,665,Trumpler14,160.95271,-59.6802,185.04,6907,4.007,0.996,12.007,32.33,0.27,2.19
10434878-5932357,665,Trumpler14,160.95325,-59.5433,18.01,4798,3,1.024,13.243,-7.82,0.83,0.74
10434888-5931068,665,Trumpler14,160.95367,-59.5186,53.29,8000,4.5,-999,12.416,7.4,5.69,1.73
10434894-5943131,665,Trumpler14,160.95392,-59.7203,12.97,-999,-999,-999,14.036,209.53,20.06,-99
10434912-5932568,665,Trumpler14,160.95467,-59.5491,26.91,4800,3.025,1.026,13.049,-6.88,1,0.85
10434915-5942552,665,Trumpler14,160.95479,-59.7153,21.81,12250,4.549,0.99,12.824,283.21,18.01,0.8
10434920-5934029,665,Trumpler14,160.955,-59.5675,15.02,4857,3.191,1.002,12.535,-9.06,0.96,0.78
10434997-5941178,665,Trumpler14,160.95821,-59.6883,32.18,7000,5,1.04,13.253,13.03,4.86,0.73
10435003-5934525,665,Trumpler14,160.95846,-59.5812,27.54,5092,4.25,0.991,13.14,2.4,0.6,0.79
10435007-5936262,665,Trumpler14,160.95863,-59.6073,25.61,5048,3.35,1.006,12.414,-8.5,0.59,0.95
10435016-5934068,665,Trumpler14,160.959,-59.5686,111.3,-999,-999,-999,10.311,362.7,6.5,-99
10435043-5934005,665,Trumpler14,160.96013,-59.5668,38.62,4998,3.93,1.02,13.058,-7.76,0.79,0.81
10435078-5942148,665,Trumpler14,160.96158,-59.7041,74.02,7438,4,1.001,12.604,-12.64,2.82,1.53
10435105-5934146,665,Trumpler14,160.96271,-59.5707,62.73,6788,3.809,1.006,13.593,-16.33,1.45,1.36
10435151-5935409,665,Trumpler14,160.96463,-59.5947,55.12,6352,4.254,0.997,13.446,-8.98,2.71,1.43
10435164-5933125,665,Trumpler14,160.96517,-59.5535,35.81,5175,4.259,0.989,12.742,28.61,0.47,0.95
10435187-5935503,665,Trumpler14,160.96613,-59.5973,18.31,5242,3.886,0.989,12.805,-10.91,0.8,0.73
10435189-5933413,665,Trumpler14,160.96621,-59.5615,6.78,7250,4,-999,12.817,1.66,7.97,0.73
10435214-5932458,665,Trumpler14,160.96725,-59.5461,15,4569,3.856,0.967,11.842,8.33,0.74,1.02
10435224-5936585,665,Trumpler14,160.96767,-59.6163,236.04,28000,3.988,-999,10.737,-11.11,0.53,2.69
10435230-5939223,665,Trumpler14,160.96792,-59.6562,52.2,5009,3.5,1.011,11.197,-10.62,0.42,1.3
10435250-5942504,665,Trumpler14,160.96875,-59.714,42.7,13724,3,-999,12.333,80.4,10.19,1.17
10435287-5933018,665,Trumpler14,160.97029,-59.5505,53.88,4661,3.123,1.013,10.855,-5.74,0.5,1.47
10435309-5944089,665,Trumpler14,160.97121,-59.7358,19.37,9000,3.5,1.012,13.878,-22.15,1.71,0.54
10435350-5932012,665,Trumpler14,160.97292,-59.5337,25.02,4891,3.074,1.014,11.997,-6.44,1.55,1.29
10435419-5938074,665,Trumpler14,160.97579,-59.6354,38.61,5568,4.36,0.988,13.533,19.81,0.63,1.06
10435437-5933029,665,Trumpler14,160.97654,-59.5508,46.21,5751,3.206,1.014,10.499,-3.93,1.27,1.97
10435459-5935352,665,Trumpler14,160.97746,-59.5931,40.94,7921,3.082,0.99,13.119,306.82,15.12,1.09
10435486-5942414,665,Trumpler14,160.97858,-59.7115,36.82,5846,4.176,0.996,14.158,-8.36,0.56,0.93
10435489-5931294,665,Trumpler14,160.97871,-59.5248,49.56,4969,3.5,1.009,12.256,-8.98,0.62,1.24
10435510-5933305,665,Trumpler14,160.97958,-59.5585,47.1,4964,3.42,1.01,11.564,-5.93,0.33,1.28
10435516-5933344,665,Trumpler14,160.97983,-59.5596,63.57,15283,4.095,0.999,11.781,-2.37,5.46,1.88
10435533-5932279,665,Trumpler14,160.98054,-59.5411,15.03,4773,3.978,0.974,13.627,-5.04,1.26,0.58
10435571-5936274,665,Trumpler14,160.98213,-59.6076,21.71,4872,2.882,1.004,13.121,-7.92,0.78,0.73
10435594-5932100,665,Trumpler14,160.98308,-59.5361,29.97,4679,2.73,1.027,13.145,-10.5,1.9,0.84
10435599-5944186,665,Trumpler14,160.98329,-59.7385,32.82,6791,5,1.013,12.573,34.69,9.32,0.84
10435618-5934472,665,Trumpler14,160.98408,-59.5798,35.85,27049,2.75,-999,12.922,-49.34,4.21,0.89
10435620-5935326,665,Trumpler14,160.98417,-59.5924,18.17,5746,3.139,1.029,12.797,-7.47,2.49,0.74
10435643-5942261,665,Trumpler14,160.98513,-59.7073,19.52,4936,2.771,1.009,11.6,-29.2,0.48,1.13
10435659-5941460,665,Trumpler14,160.98579,-59.6961,219.28,5904,4.156,0.999,10.835,48.81,0.25,2.65
10435668-5930218,665,Trumpler14,160.98617,-59.5061,142.12,5708,3.406,1.007,11.291,-20.28,0.25,2.03
10435674-5931475,665,Trumpler14,160.98642,-59.5299,40.51,4548,3.294,0.989,11.987,-14.89,1.22,1.2
10435690-5932176,665,Trumpler14,160.98708,-59.5382,16.97,4609,2.952,0.993,12.681,-4.11,1.71,0.89
10435715-5943312,665,Trumpler14,160.98813,-59.7253,87.31,6291,3.829,1.007,13.154,-6.49,0.49,1.54
10435724-5932412,665,Trumpler14,160.9885,-59.5448,126.58,15456,4.078,-999,11.493,80,0.27,2.46
10435738-5943081,665,Trumpler14,160.98908,-59.7189,37.67,5820,3.956,1.001,13.991,-8.78,0.57,0.97
10435740-5932323,665,Trumpler14,160.98917,-59.5423,23.78,4933,4.16,-999,11.159,-10.85,5.16,2.53
10435776-5933239,665,Trumpler14,160.99067,-59.5566,76.7,6474,3.82,-999,11.131,385.7,5.93,1.94
10435804-5937180,665,Trumpler14,160.99183,-59.6217,31.59,5311,4.599,1.003,11.826,12.61,0.83,1.03
10435844-5943061,665,Trumpler14,160.9935,-59.7184,24.22,5342,3.14,1.005,12.677,14.7,0.47,0.86
10435851-5931294,665,Trumpler14,160.99379,-59.5248,47.29,7111,4.333,0.998,13.233,-17.61,1.37,1.22
10435855-5933280,665,Trumpler14,160.99396,-59.5578,6.91,-999,-999,-999,12.933,0.5,6.34,-99
10435862-5936411,665,Trumpler14,160.99425,-59.6114,8.59,-999,-999,-999,14.773,28.42,61.72,-99
10435886-5943037,665,Trumpler14,160.99525,-59.7177,65.04,8706,3.506,1.003,12.463,-24.98,3.06,1.4
10435920-5933215,665,Trumpler14,160.99667,-59.556,97.41,17567,4.14,-999,10.636,21.26,1.81,2.8
10435927-5943363,665,Trumpler14,160.99696,-59.7268,16.5,6241,3.449,1.028,12.082,2.16,0.6,0.95
10435928-5939565,665,Trumpler14,160.997,-59.6657,290.49,5269,2.63,1.026,9.385,-0.03,0.24,2.47
10435933-5931404,665,Trumpler14,160.99721,-59.5279,3.95,-999,-999,-999,11.923,24,11.97,-99
10435945-5936192,665,Trumpler14,160.99771,-59.6053,32.2,5802,3.88,1.002,13.106,23.43,0.68,1.48
10435947-5932513,665,Trumpler14,160.99779,-59.5476,89.61,-999,-999,-999,9.324,-19.81,3.4,-99
10435953-5934350,665,Trumpler14,160.99804,-59.5764,27.04,4664,4.39,0.925,12.883,-10.66,1.57,0.69
10435959-5939088,665,Trumpler14,160.99829,-59.6524,90.12,6473,4.242,0.997,11.972,1.77,0.4,2.11
10435970-5939119,665,Trumpler14,160.99875,-59.6533,4.75,-999,-999,-999,11.972,-690.61,659.88,-99
10440001-5930130,665,Trumpler14,161.00004,-59.5036,32.56,4808,4.12,1.006,12.292,-3.36,0.46,0.97
10440067-5934174,665,Trumpler14,161.00279,-59.5715,60.82,6250,3.94,1.004,11.635,-12.48,0.82,1.63
10440079-5945038,665,Trumpler14,161.00329,-59.7511,111.33,5000,2.73,1.014,10.703,18.45,0.25,2.03
10440082-5934391,665,Trumpler14,161.00342,-59.5775,52.04,5087,3.1,1.018,11.674,-4.01,1.18,1.26
10440091-5933513,665,Trumpler14,161.00379,-59.5643,31.55,4465,3.07,-999,12.649,-8.61,3.01,0.92
10440112-5935353,665,Trumpler14,161.00467,-59.5931,55.8,7728,-999,0.993,10.509,398.04,6.59,1.73
10440159-5932349,665,Trumpler14,161.00663,-59.543,63,4934,3.45,1.007,12.23,-5.31,0.65,1.25
10440165-5944581,665,Trumpler14,161.00688,-59.7495,22.73,9500,3.944,1.022,12.891,71.76,14.7,0.81
10440170-5932494,665,Trumpler14,161.00708,-59.5471,35.55,4845,3.67,0.994,15.924,-7.39,0.36,-0.08
10440174-5931016,665,Trumpler14,161.00725,-59.5171,57.97,5711,3.182,1.012,12.084,-7.08,2.11,1.42
10440180-5930080,665,Trumpler14,161.0075,-59.5022,18.26,7500,3,0.988,13.138,-9.14,1.34,0.93
10440209-5937523,665,Trumpler14,161.00871,-59.6312,115.56,6137,3.92,-999,10.575,-24.21,2.24,1.8
10440301-5933545,665,Trumpler14,161.01254,-59.5651,69.11,5367,3.739,1.005,12.158,-16.16,0.82,1.38
10440309-5941400,665,Trumpler14,161.01288,-59.6944,41.54,14250,4.582,1.018,12.995,-25.85,8.02,1.15
10440320-5937381,665,Trumpler14,161.01333,-59.6272,201.1,25876,4.75,-999,11.504,-4.79,0.66,2.66
10440340-5931372,665,Trumpler14,161.01417,-59.527,64.45,4874,3.1,1.011,11.98,-7.68,0.73,1.32
10440340-5936592,665,Trumpler14,161.01417,-59.6164,27.93,5587,4.26,0.99,13.45,50.22,0.66,0.49
10440351-5935126,665,Trumpler14,161.01463,-59.5868,302.61,5893,4.409,0.993,10.487,19.72,0.24,2.68
10440381-5940286,665,Trumpler14,161.01587,-59.6746,66.63,4138,1.802,1.037,9.884,27.43,0.25,1.8
10440384-5933100,665,Trumpler14,161.016,-59.5528,72.91,18086,4.86,0.999,11.035,125,0.25,2.19
10440384-5934344,665,Trumpler14,161.016,-59.5762,185.06,17925,3.719,-999,11.895,-25.6,1.23,2.48
10440403-5941477,665,Trumpler14,161.01679,-59.6966,73.86,6743,4.212,0.993,12.388,25.63,0.48,2.15
10440418-5934253,665,Trumpler14,161.01742,-59.5737,33.55,5611,5,0.951,12.815,25.55,1.33,1.05
10440437-5942055,665,Trumpler14,161.01821,-59.7015,17.68,6325,4.258,0.997,14.065,25.45,4.12,0.45
10440480-5938490,665,Trumpler14,161.02,-59.6469,34.85,5494,4.07,0.972,13.138,-6.58,0.64,1.53
10440483-5935244,665,Trumpler14,161.02013,-59.5901,26,5826,4.103,0.981,13.429,-2.67,0.89,0.91
10440492-5938408,665,Trumpler14,161.0205,-59.6447,5.69,-999,-999,-999,13.56,-631.71,315.02,-99
10440497-5944159,665,Trumpler14,161.02071,-59.7377,64.34,6764,5,1.002,11.632,345.28,14.65,1.47
10440519-5932321,665,Trumpler14,161.02163,-59.5423,20.64,5888,5,0.996,12.78,11.16,0.82,0.91
10440521-5934140,665,Trumpler14,161.02171,-59.5706,53.94,5412,4.16,-999,13.013,-4.43,4.07,0.98
10440542-5930435,665,Trumpler14,161.02258,-59.5121,96.32,5160,4.389,0.983,12.179,23.35,0.27,1.76
10440546-5936363,665,Trumpler14,161.02275,-59.6101,41.08,5114,2.62,1.027,11.303,12.6,0.31,1.26
10440563-5943301,665,Trumpler14,161.02346,-59.725,27.11,4447,5.326,0.908,14.516,2.97,0.48,0.52
10440575-5933405,665,Trumpler14,161.02396,-59.5613,51.62,13089,4.512,-999,12.482,275,1.28,1.7
10440591-5944277,665,Trumpler14,161.02462,-59.741,56.53,15777,5,0.997,12.258,-5.29,2.82,1.47
10440598-5944380,665,Trumpler14,161.02492,-59.7439,80.81,6143,3.59,1.006,11.62,-36.45,0.29,1.8
10440624-5931309,665,Trumpler14,161.026,-59.5253,22.17,4548,2.65,1.029,13.017,-6.94,2.74,0.79
10440632-5934177,665,Trumpler14,161.02633,-59.5716,134.81,17000,4.276,-999,11.617,-37.45,1.68,1.82
10440671-5931482,665,Trumpler14,161.02796,-59.5301,18.37,3882,2.729,0.977,12.517,-3.33,2.01,0.9
10440671-5946503,665,Trumpler14,161.02796,-59.7806,307.58,5272,2.63,1.022,9.661,-3.39,0.24,2.5
10440677-5932347,665,Trumpler14,161.02821,-59.543,22.31,4480,3.198,0.973,12.786,-11.79,0.67,0.86
10440680-5940367,665,Trumpler14,161.02833,-59.6769,64.35,4011,1.619,1.057,9.165,13.03,0.25,2.09
10440685-5929410,665,Trumpler14,161.02854,-59.4947,34.79,4425,3.531,1.036,12.459,-9.18,1.71,0.99
10440693-5941382,665,Trumpler14,161.02888,-59.6939,24.06,9000,3.5,1.011,14.107,58.7,15.28,0.6
10440701-5932310,665,Trumpler14,161.02921,-59.5419,22.74,4397,3.5,0.982,13.089,5.81,1.96,0.81
10440711-5931108,665,Trumpler14,161.02963,-59.5197,24.39,4453,3.5,0.989,12.414,-4.42,0.43,0.85
10440714-5933063,665,Trumpler14,161.02975,-59.5517,27.13,5946,4.563,0.989,12.736,4.86,1.18,0.89
10440757-5944203,665,Trumpler14,161.03154,-59.739,20.11,5704,3.263,1.008,13.443,18.17,2.03,0.73
10440770-5929528,665,Trumpler14,161.03208,-59.498,15.54,7111,2,0.962,14.134,74.25,1.3,0.9
10440777-5946287,665,Trumpler14,161.03238,-59.7746,28.26,12500,5,-999,13.969,145.07,12.91,0.8
10440818-5932465,665,Trumpler14,161.03408,-59.5463,45.73,4424,3.383,1.001,12.648,4.77,0.4,1.07
10440820-5940374,665,Trumpler14,161.03417,-59.6771,8.49,-999,-999,-999,13.668,-20.14,10.78,-99
10440824-5938377,665,Trumpler14,161.03433,-59.6438,16.29,20888,4.75,1.006,12.498,108.57,235.08,1.63
10440858-5939279,665,Trumpler14,161.03575,-59.6578,12.43,5089,5.504,0.958,14.5,33.79,1.91,0.36
10440866-5938497,665,Trumpler14,161.03608,-59.6471,72.73,6447,4.159,0.999,13.587,19.47,0.38,1.22
10440871-5936105,665,Trumpler14,161.03629,-59.6029,76.33,5829,4.13,-999,12.31,-10.97,2.16,1.39
10440880-5947285,665,Trumpler14,161.03667,-59.7912,28.44,6833,5,1.009,13.006,-39.95,2.21,0.85
10440897-5931322,665,Trumpler14,161.03738,-59.5256,100.58,6127,4.5,-999,11.084,346.71,8.2,2.03
10440925-5945330,665,Trumpler14,161.03854,-59.7592,58.11,15300,4.996,1.005,12.787,-10.76,3.03,1.39
10440932-5944249,665,Trumpler14,161.03883,-59.7403,12.78,9500,3.502,0.996,13.024,-113.6,30.46,0.69
10440940-5930260,665,Trumpler14,161.03917,-59.5072,17.9,7611,3,1.019,14.334,10.28,1.04,0.6
10440940-5934253,665,Trumpler14,161.03917,-59.5737,57.52,5376,3.767,1.01,12.805,-13.87,1.08,0.59
10440951-5932125,665,Trumpler14,161.03963,-59.5368,76.75,7500,5,1.001,13.035,-0.75,2.56,1.62
10440976-5943384,665,Trumpler14,161.04067,-59.7273,92.56,14250,4.591,-999,12.328,-12.64,1.96,1.6
10440976-5944480,665,Trumpler14,161.04067,-59.7467,77.56,16888,4.222,0.997,11.749,-13.85,2.14,1.53
10440978-5947104,665,Trumpler14,161.04075,-59.7862,41.14,10633,3.3,1.015,11.623,179.53,6.82,1.33
10440987-5932042,665,Trumpler14,161.04112,-59.5345,14.78,3968,5,-999,13.298,-21.82,5.52,0.63
10440993-5934360,665,Trumpler14,161.04137,-59.5767,134.29,8436,-999,1,11.24,14.3,3.08,2.08
10440993-5946186,665,Trumpler14,161.04137,-59.7718,78.4,15000,2.401,1.005,8.951,27.31,0.52,2.18
10441017-5940241,665,Trumpler14,161.04237,-59.6734,116.94,6550,4.1,1.031,12.54,43.06,1.24,2.18
10441019-5937415,665,Trumpler14,161.04246,-59.6282,23.05,4582,2.368,1.008,12.736,5.49,0.41,0.75
10441020-5935545,665,Trumpler14,161.0425,-59.5985,13.92,4885,2.705,1.009,13.485,8.37,13.45,0.63
10441020-5939460,665,Trumpler14,161.0425,-59.6628,30.15,4374,2.116,1.017,11.782,35.86,0.3,1.1
10441031-5930011,665,Trumpler14,161.04296,-59.5003,15.91,4783,2.423,1.015,13.379,-0.3,0.64,0.67
10441059-5940543,665,Trumpler14,161.04413,-59.6818,100.5,6729,3.824,1.005,11.794,115,0.24,1.78
10441070-5939180,665,Trumpler14,161.04458,-59.655,93.75,7222,4,-999,12.005,115,0.25,1.8
10441070-5942512,665,Trumpler14,161.04458,-59.7142,70.95,12057,3.761,-999,13.496,-15.1,2.57,0.41
10441078-5945227,665,Trumpler14,161.04492,-59.7563,29.23,9000,3.5,1.003,13.105,13.15,11.05,0.98
10441080-5940135,665,Trumpler14,161.045,-59.6704,11.45,4192,3.594,0.945,13.542,-9.65,0.88,0.55
10441087-5932213,665,Trumpler14,161.04529,-59.5393,20.58,4625,4.41,1.011,13.307,-9.5,0.92,0.71
10441110-5940487,665,Trumpler14,161.04625,-59.6802,19.1,4796,3.895,0.977,13.403,-5.48,1.23,0.51
10441144-5947040,665,Trumpler14,161.04767,-59.7844,55.76,14900,4.708,0.997,12.542,-21.56,2.11,1.43
10441174-5944268,665,Trumpler14,161.04892,-59.7408,66.62,18703,4.967,-999,11.51,-4.93,1.35,1.77
10441175-5947419,665,Trumpler14,161.04896,-59.795,41.21,6693,4.35,1.006,13.916,30.31,0.96,1.01
10441215-5933512,665,Trumpler14,161.05063,-59.5642,123.42,15370,4.188,-999,11.554,374.71,4.4,2.43
10441218-5946510,665,Trumpler14,161.05075,-59.7808,28.74,4821,2.205,1.045,10.867,-14.11,0.32,1.43
10441226-5934246,665,Trumpler14,161.05108,-59.5735,25.65,4832,3.5,0.995,12.679,-9.42,0.72,0.9
10441230-5940553,665,Trumpler14,161.05125,-59.682,37.84,15000,4.722,1.009,13.403,-26.94,9.09,0.51
10441248-5942518,665,Trumpler14,161.052,-59.7144,19.77,4923,2.506,1.013,11.516,29.69,0.62,1.21
10441250-5943276,665,Trumpler14,161.05208,-59.7243,105.35,20444,5,1.003,11.815,0,0.28,1.81
10441252-5935450,665,Trumpler14,161.05217,-59.5958,15.53,4283,1.856,1.019,12.971,-9.25,4.26,0.7
10441254-5937301,665,Trumpler14,161.05225,-59.625,24.95,6340,4.327,0.996,13.73,-20.59,1.72,0.61
10441255-5934124,665,Trumpler14,161.05229,-59.5701,58.94,13625,4.462,0.998,10.664,11.43,4.13,1.77
10441283-5933322,665,Trumpler14,161.05342,-59.5589,93.15,16000,4.194,0.999,12.127,300,1.34,2.16
10441284-5939372,665,Trumpler14,161.0535,-59.6603,82.17,6457,4.2,-999,10.368,-0.27,4.82,2.04
10441288-5947099,665,Trumpler14,161.05367,-59.7861,11.23,-999,-999,-999,12.835,306.59,9.21,-99
10441297-5948203,665,Trumpler14,161.05404,-59.8056,17.65,12074,4.5,0.998,12.495,200.33,14.98,0.95
10441304-5945477,665,Trumpler14,161.05433,-59.7632,22.98,6263,3.5,1.038,12.534,15.29,2.31,0.88
10441305-5933219,665,Trumpler14,161.05437,-59.5561,22.86,4270,4.55,0.966,13.526,-4.73,0.44,0.62
10441315-5941470,665,Trumpler14,161.05479,-59.6964,20.52,4345,2.269,1.018,12.319,35.83,0.4,0.91
10441340-5943338,665,Trumpler14,161.05583,-59.7261,24.23,9500,4.021,-999,11.815,9.63,14.19,1.81
10441352-5946506,665,Trumpler14,161.05633,-59.7807,23.77,3938,5,0.892,13.509,8.9,1.16,0.87
10441360-5940351,665,Trumpler14,161.05683,-59.6764,84.94,5658,4.444,0.989,13.665,55.35,0.36,0.29
10441380-5942571,665,Trumpler14,161.0575,-59.7159,245.81,32798,4.654,-999,9.409,365.87,1.83,2.77
10441386-5942249,665,Trumpler14,161.05775,-59.7069,22.26,4471,4.18,0.982,13.336,-3.83,1.99,0.7
10441390-5941293,665,Trumpler14,161.05792,-59.6915,31.21,3857,4.56,0.925,13.191,-14.22,1.76,0.38
10441448-5940198,665,Trumpler14,161.06033,-59.6722,23.87,4881,2.406,1.044,10.382,46.23,0.39,1.59
