Name,Cluster,Source,LitPeriod,TIC,GaiaDR2,SimbadName
N2547-1-2-7069,NGC 2547,irwin2008,1.144,0,,[IHA2008] N2547-1-2-7069
N2547-1-2-7227,NGC 2547,irwin2008,7.298,0,,[IHA2008] N2547-1-2-7227
N2547-1-2-8697,NGC 2547,irwin2008,8.104,238662513,5516083471003575680,[IHA2008] N2547-1-2-8697
N2547-1-3-435,NGC 2547,irwin2008,2.232,238615465,5514567858643715968,[IHA2008] N2547-1-3-435
N2547-1-3-645,NGC 2547,irwin2008,0.671,238661806,5514564804921368576,[IHA2008] N2547-1-3-645
N2547-1-3-1704,NGC 2547,irwin2008,3.439,238661905,5514568034743288448,[IHA2008] N2547-1-3-1704
N2547-1-3-4387,NGC 2547,irwin2008,0.97,238615141,5514581194523005312,[IHA2008] N2547-1-3-4387
N2547-1-3-5557,NGC 2547,irwin2008,0.933,0,,[IHA2008] N2547-1-3-5557
N2547-1-3-8302,NGC 2547,irwin2008,1.068,238614804,5514585626929171968,[IHA2008] N2547-1-3-8302
N2547-1-3-8598,NGC 2547,irwin2008,4.713,238614784,5514585867447375488,[IHA2008] N2547-1-3-8598
N2547-1-4-430,NGC 2547,irwin2008,1.063,238597620,,[IHA2008] N2547-1-4-430
N2547-1-4-1799,NGC 2547,irwin2008,8.594,238597741,5514576968275072896,[IHA2008] N2547-1-4-1799
N2547-1-4-3086,NGC 2547,irwin2008,1.843,0,,[IHA2008] N2547-1-4-3086
N2547-1-4-4891,NGC 2547,irwin2008,5.703,238598054,5514584149460341632,[IHA2008] N2547-1-4-4891
N2547-1-4-5604,NGC 2547,irwin2008,6.766,238598122,5514584630496708096,[IHA2008] N2547-1-4-5604
N2547-1-4-7207,NGC 2547,irwin2008,0.473,0,,[IHA2008] N2547-1-4-7207
N2547-1-5-417,NGC 2547,irwin2008,0.865,238616195,5514554600085773568,[IHA2008] N2547-1-5-417
N2547-1-5-1123,NGC 2547,irwin2008,0.413,238596937,5514555527798696192,[IHA2008] N2547-1-5-1123
N2547-1-5-1695,NGC 2547,irwin2008,0.751,238596988,5514555699597383296,[IHA2008] N2547-1-5-1695
N2547-1-5-2108,NGC 2547,irwin2008,3.436,238616058,5514555665237649408,[IHA2008] N2547-1-5-2108
N2547-1-5-2392,NGC 2547,irwin2008,5.403,238616024,5514555733957121792,[IHA2008] N2547-1-5-2392
