_RAJ2000,_DEJ2000,[IHA2008],RAJ2000,DEJ2000,Vmag,Icmag,Per,Iamp,Mass,Rad,TIC,GaiaDR2,SimbadName
122.56258,-48.85358,N2547-1-3-1704,08 10 15.02,-48 51 12.9,16.63,14.45,3.439,0.01,0.69,0.76,238661905,5514568034743288448,[IHA2008] N2547-1-3-1704
122.46025,-48.76975,N2547-1-3-4387,08 09 50.46,-48 46 11.1,18.79,16.0,0.97,0.015,0.34,0.49,238615141,5514581194523005312,[IHA2008] N2547-1-3-4387
122.48296,-48.73286,N2547-1-3-5557,08 09 55.91,-48 43 58.3,19.69,16.66,0.933,0.007,0.23,0.39,0,,[IHA2008] N2547-1-3-5557
122.41337,-48.64767,N2547-1-3-8302,08 09 39.21,-48 38 51.6,17.68,15.26,1.068,0.015,0.51,0.62,238614804,5514585626929171968,[IHA2008] N2547-1-3-8302
122.4815,-48.63706,N2547-1-3-8598,08 09 55.56,-48 38 13.4,17.39,14.85,4.713,0.036,0.61,0.69,238614784,5514585867447375488,[IHA2008] N2547-1-3-8598
122.16937,-48.89381,N2547-1-4-430,08 08 40.65,-48 53 37.7,19.39,16.58,1.063,0.023,0.24,0.4,238597620,,[IHA2008] N2547-1-4-430
122.20292,-48.84817,N2547-1-4-1799,08 08 48.70,-48 50 53.4,16.08,14.03,8.594,0.007,0.76,0.82,238597741,5514576968275072896,[IHA2008] N2547-1-4-1799
122.191,-48.80558,N2547-1-4-3086,08 08 45.84,-48 48 20.1,20.57,17.53,1.843,0.025,0.14,0.3,0,,[IHA2008] N2547-1-4-3086
122.20296,-48.74811,N2547-1-4-4891,08 08 48.71,-48 44 53.2,18.29,15.79,5.703,0.031,0.38,0.52,238598054,5514584149460341632,[IHA2008] N2547-1-4-4891
122.27683,-48.7245,N2547-1-4-5604,08 09 06.44,-48 43 28.2,15.5,13.73,6.766,0.023,0.79,0.86,238598122,5514584630496708096,[IHA2008] N2547-1-4-5604
122.26379,-48.66525,N2547-1-4-7207,08 09 03.31,-48 39 54.9,21.54,18.42,0.473,0.02,0.09,0.24,0,,[IHA2008] N2547-1-4-7207
122.35796,-49.16622,N2547-1-5-417,08 09 25.91,-49 09 58.4,18.58,15.94,0.865,0.026,0.35,0.5,238616195,5514554600085773568,[IHA2008] N2547-1-5-417
122.32379,-49.14292,N2547-1-5-1123,08 09 17.71,-49 08 34.5,19.43,16.49,0.413,0.014,0.25,0.41,238596937,5514555527798696192,[IHA2008] N2547-1-5-1123
122.31854,-49.12331,N2547-1-5-1695,08 09 16.45,-49 07 23.9,17.3,14.83,0.751,0.009,0.61,0.69,238596988,5514555699597383296,[IHA2008] N2547-1-5-1695
122.35158,-49.10786,N2547-1-5-2108,08 09 24.38,-49 06 28.3,17.23,15.0,3.436,0.022,0.57,0.66,238616058,5514555665237649408,[IHA2008] N2547-1-5-2108
122.33879,-49.09836,N2547-1-5-2392,08 09 21.31,-49 05 54.1,16.86,14.52,5.403,0.03,0.67,0.75,238616024,5514555733957121792,[IHA2008] N2547-1-5-2392
122.17896,-49.06394,N2547-1-5-3436,08 08 42.95,-49 03 50.2,19.65,16.66,0.643,0.015,0.23,0.39,238597163,5514558654534839808,[IHA2008] N2547-1-5-3436
122.35721,-49.05436,N2547-1-5-3742,08 09 25.73,-49 03 15.7,19.04,16.3,0.807,0.024,0.28,0.44,238615913,5514556421151886080,[IHA2008] N2547-1-5-3742
122.29271,-49.04031,N2547-1-5-4180,08 09 10.25,-49 02 25.1,16.06,14.11,2.116,0.031,0.75,0.81,238597228,5514559238650415744,[IHA2008] N2547-1-5-4180
122.24079,-49.02142,N2547-1-5-4782,08 08 57.79,-49 01 17.1,17.48,15.19,5.137,0.028,0.53,0.63,238597277,5514560097643858432,[IHA2008] N2547-1-5-4782
122.23337,-48.99247,N2547-1-5-5612,08 08 56.01,-48 59 32.9,21.58,18.3,0.939,0.019,0.1,0.25,0,,[IHA2008] N2547-1-5-5612
