_RAJ2000,_DEJ2000,[IHA2008],RAJ2000,DEJ2000,Vmag,Icmag,Per,Iamp,Mass,Rad,TIC,GaiaDR2,SimbadName
122.26962,-49.55761,N2547-2-5-3383,08 09 04.71,-49 33 27.4,17.39,14.86,4.993,0.03,0.61,0.69,238595845,5514334663399974656,[IHA2008] N2547-2-5-3383
122.30771,-49.55506,N2547-2-5-3430,08 09 13.85,-49 33 18.2,18.34,15.6,1.693,0.015,0.43,0.55,238595848,5514323290326719360,[IHA2008] N2547-2-5-3430
122.35775,-49.54567,N2547-2-5-3706,08 09 25.86,-49 32 44.4,16.99,14.66,7.275,0.057,0.65,0.72,238617190,5514323187247488256,[IHA2008] N2547-2-5-3706
122.29504,-49.48797,N2547-2-5-5346,08 09 10.81,-49 29 16.7,17.17,14.98,5.033,0.013,0.58,0.67,238596015,5514335522393565696,[IHA2008] N2547-2-5-5346
122.35204,-49.48267,N2547-2-5-5488,08 09 24.49,-49 28 57.6,17.48,14.98,1.189,0.022,0.58,0.67,238617027,5514358749577486336,[IHA2008] N2547-2-5-5488
122.30037,-49.45831,N2547-2-5-6156,08 09 12.09,-49 27 29.9,19.51,16.65,1.573,0.027,0.23,0.39,238596096,5514336308366644864,[IHA2008] N2547-2-5-6156
122.22762,-49.45092,N2547-2-5-6375,08 08 54.63,-49 27 03.3,19.17,16.29,1.108,0.015,0.29,0.44,238596115,5514336480165371264,[IHA2008] N2547-2-5-6375
122.32137,-49.42433,N2547-2-5-7229,08 09 17.13,-49 25 27.6,18.04,15.5,0.56,0.072,0.45,0.57,238596181,5514359883448845696,[IHA2008] N2547-2-5-7229
122.5085,-49.66569,N2547-2-6-463,08 10 02.04,-49 39 56.5,15.75,14.18,5.263,0.019,0.73,0.8,238617507,5514341191750996608,[IHA2008] N2547-2-6-463
122.50246,-49.62575,N2547-2-6-1606,08 10 00.59,-49 37 32.7,20.28,17.17,1.418,0.009,0.17,0.34,238617414,5514341565411204736,[IHA2008] N2547-2-6-1606
122.41904,-49.53733,N2547-2-6-4198,08 09 40.57,-49 32 14.4,19.9,17.09,1.221,0.012,0.18,0.34,238617160,5514345860373552896,[IHA2008] N2547-2-6-4198
122.43737,-49.53678,N2547-2-6-4226,08 09 44.97,-49 32 12.4,17.27,14.7,0.739,0.014,0.64,0.72,238617158,5514345967754802432,[IHA2008] N2547-2-6-4226
122.44483,-49.5185,N2547-2-6-4699,08 09 46.76,-49 31 06.6,17.86,15.46,0.293,0.03,0.46,0.58,238617117,5514346002114532352,[IHA2008] N2547-2-6-4699
122.39104,-49.509,N2547-2-6-4989,08 09 33.85,-49 30 32.4,21.06,17.68,0.682,0.013,0.13,0.29,238617090,5514346891167657856,[IHA2008] N2547-2-6-4989
122.41892,-49.50567,N2547-2-6-5100,08 09 40.54,-49 30 20.4,18.51,15.86,1.694,0.018,0.37,0.51,238617079,5514346792388520192,[IHA2008] N2547-2-6-5100
122.41362,-49.48036,N2547-2-6-5807,08 09 39.27,-49 28 49.3,17.92,15.51,1.517,0.009,0.45,0.57,238617020,5514347032906681728,[IHA2008] N2547-2-6-5807
122.55979,-49.47403,N2547-2-6-5964,08 10 14.35,-49 28 26.5,17.77,15.37,1.216,0.025,0.49,0.6,238643998,5514347788820872704,[IHA2008] N2547-2-6-5964
122.57696,-49.44186,N2547-2-6-6905,08 10 18.47,-49 26 30.7,18.95,16.04,0.512,0.016,0.33,0.48,238644082,5514348098058500736,[IHA2008] N2547-2-6-6905
122.57471,-49.43722,N2547-2-6-7029,08 10 17.93,-49 26 14.0,20.93,17.83,0.645,0.011,0.12,0.28,238644093,5514348162477981440,[IHA2008] N2547-2-6-7029
122.72325,-49.58264,N2547-2-7-2985,08 10 53.58,-49 34 57.5,17.75,15.4,5.325,0.025,0.48,0.59,238668956,5514296627169047808,[IHA2008] N2547-2-7-2985
122.76733,-49.54314,N2547-2-7-4193,08 11 04.16,-49 32 35.3,19.91,17.1,0.631,0.01,0.18,0.34,0,,[IHA2008] N2547-2-7-4193
122.68975,-49.52947,N2547-2-7-4661,08 10 45.54,-49 31 46.1,19.14,16.39,0.621,0.017,0.27,0.43,238643875,5514343901868484992,[IHA2008] N2547-2-7-4661
122.65558,-49.46958,N2547-2-7-6497,08 10 37.34,-49 28 10.5,18.06,15.55,2.988,0.034,0.44,0.56,238644011,5514345211840457984,[IHA2008] N2547-2-7-6497
122.64875,-49.46375,N2547-2-7-6680,08 10 35.70,-49 27 49.5,17.11,14.97,2.979,0.023,0.58,0.67,238644026,5514345211840458624,[IHA2008] N2547-2-7-6680
122.67646,-49.46472,N2547-2-7-6909,08 10 42.35,-49 27 53.0,19.37,16.46,1.01,0.023,0.26,0.42,238644022,,[IHA2008] N2547-2-7-6909
122.67717,-49.41531,N2547-2-7-8140,08 10 42.52,-49 24 55.1,19.09,16.19,0.333,0.009,0.3,0.45,238644145,5514348407296105344,[IHA2008] N2547-2-7-8140
123.00608,-49.60214,N2547-2-8-2250,08 12 01.46,-49 36 07.7,17.93,15.38,1.364,0.011,0.48,0.6,238715667,5514297864119705984,[IHA2008] N2547-2-8-2250
122.99229,-49.55786,N2547-2-8-3610,08 11 58.15,-49 33 28.3,19.89,16.66,0.456,0.024,0.23,0.39,238715768,5514298924970807424,[IHA2008] N2547-2-8-3610
