tic_id,g_group,ap_type,j-k,period,power,sigma
94104642,14,Percentile,0.882,28,0,0.027842312777143
93832597,15,Threshold,0.862,17.5526579739218,0,0.027662705119828
144997798,10,Pipeline,0.370000000000001,0.889038473139925,0,0.033711021348116
92583560,11,Pipeline,0.591000000000001,5.0218810531602,0,0.028337319886356
92827857,16,Pipeline,0.880000000000001,28,0,0.02848318804022
93011540,16,Pipeline,0.955,13.4093194770365,0,0.033711398755939
93021434,16,Pipeline,0.892000000000001,13.4693092168559,0,0.037739662246314
93831298,16,Threshold,0.878,28,0,0.027928942648764
93554428,17,Pipeline,0.99,28,0,0.026414684370059
144752281,11,Pipeline,0.430000000000002,3.08945062947557,0,0.028166070045227
93836787,14,Pipeline,0.904999999999999,20.1351934416799,0,0.024236366935723
93013696,11,Threshold,0.503,4.08222772998979,0,0.032758159262399
94103243,16,Percentile,0.901,28,0,0.029518057529953
93012997,12,Threshold,0.773999999999999,28,0,0.029429106283296
93911997,13,Threshold,0.857000000000001,0.257736229061233,0,0.027312975739167
93912895,14,Pipeline,0.881,28,0,0.028930287609829
93551386,16,Percentile,0.885999999999999,28,0,0.03344847306541
144755157,15,Threshold,0.811999999999999,28,0,0.03032526406397
93267903,16,Percentile,0.885999999999999,28,0,0.026344229225265
94105182,17,Pipeline,0.850999999999999,28,0,0.02353812399732
