tic_id,g_group,ap_type,j-k,period,power,sigma
93022865,15,Percentile,0.863999999999999,28,0,0.027083038293752
93833201,16,Pipeline,0.821999999999999,28,0,0.029644468272092
94185042,16,Percentile,0.824999999999999,24.5721807810443,0,0.032681321474602
93273279,17,Percentile,0.921000000000001,28,0,0.028236146844766
93268096,10,Pipeline,0.404,3.94838891630826,0,0.02525609543083
93549955,17,Pipeline,0.889999999999999,28,0,0.027496273915546
93834269,16,Percentile,0.868,28,0,0.028481762447472
93630403,17,Pipeline,0.953999999999999,28,0,0.024041614100535
93914694,13,Percentile,0.840999999999999,10.6943701779849,0,0.02712725999283
92477888,16,Percentile,0.819000000000001,28,0,0.024657088472593
93554492,15,Threshold,0.834,28,0,0.028159175598452
93555601,14,Threshold,0.92,28,0,0.028797172934218
144759807,16,Threshold,0.863999999999999,28,0,0.025926674180208
93912319,10,Percentile,0.558,0.223191866888371,0,0.026416161912088
93553696,17,Threshold,0.945,28,0,0.026905627841718
93269120,13,Threshold,0.924999999999999,6.20100101873588,0,0.025501210556033
93013088,17,Percentile,1.018,28,0,0.027768549698003
93018819,17,Pipeline,0.831,28,0,0.025314074403379
94183782,15,Pipeline,0.863000000000001,28,0,0.027807690114053
93836256,15,Pipeline,0.872000000000002,28,0,0.028505780585997
93268140,10,Pipeline,0.433,5.01351859478236,0,0.026500595092073
93832296,12,Threshold,0.825000000000001,28,0,0.032608393482267
92742627,12,Threshold,0.676,28,0,0.02579296932965
92475268,12,Pipeline,0.572999999999999,8.01740923147406,0,0.025404572207345
144996772,10,Pipeline,0.381,0.759998045719311,0,0.031715321201861
94104238,17,Threshold,0.935,28,0,0.029340397245263
93011965,16,Percentile,1.207,28,0,0.024411461966713
93630086,14,Threshold,0.914,28,0,0.025626702966613
144755455,11,Threshold,0.603,4.92333661555774,0,0.028689170417318
93014257,13,Threshold,0.843,4.36008035005217,0,0.031459323527953
93265597,12,Percentile,0.755000000000001,28,0,0.027430943877547
93832146,16,Threshold,0.848000000000001,28,0,0.027526886905141
93631008,17,Pipeline,0.886999999999999,28,0,0.030973408451486
93554205,17,Percentile,0.892999999999999,28,0,0.028706877828724
93267406,10,Percentile,0.153000000000001,28,0,0.030121996602488
93552710,15,Threshold,0.833,17.3503532036188,0,0.030313893566497
144995898,16,Percentile,0.870000000000001,28,0,0.02370679487562
93833575,17,Pipeline,0.881,5.44906101002238,0,0.034939077513384
93016484,11,Percentile,0.436999999999999,4.5306710247407,0,0.027005785334797
144759078,16,Pipeline,0.884,12.4140988694303,0,0.033041751722237
93630147,15,Threshold,0.885000000000002,16.9594185342217,0,0.03034770066448
94185045,13,Pipeline,0.837,4.55121745066805,0,0.028588324907883
93833806,14,Threshold,0.869999999999999,28,0,0.025214567289952
93021329,12,Threshold,0.725000000000001,0.233798982974424,0,0.026369904202133
93549861,13,Percentile,0.870999999999999,28,0,0.027563776711681
94184079,16,Pipeline,0.862999999999999,14.9397076085797,0,0.029933393093075
94184691,13,Threshold,0.810000000000001,28,0,0.026765216933274
93555522,16,Threshold,0.877999999999998,16.2281210154167,0,0.024142332249171
93548114,16,Pipeline,0.843,23.9849237622066,0,0.025708951328059
94107183,10,Pipeline,0.501000000000001,3.11502219453314,0,0.02721461105445
92747418,15,Threshold,0.843,28,0,0.027736720318575
92741130,16,Percentile,0.843,16.4049683618467,0,0.029598876016605
93835716,17,Pipeline,0.843,28,0,0.028430621799776
93275001,16,Pipeline,0.930999999999999,28,0,0.029743825253698
93550865,12,Threshold,0.814,5.53928938830419,0,0.028159786472238
93272005,15,Threshold,0.834,28,0,0.031099244034577
93550269,14,Pipeline,0.874000000000001,28,0,0.032655520294183
93550090,16,Pipeline,0.889000000000001,28,0,0.029112948697869
93833197,15,Threshold,0.875,8.78982891225867,0,0.030284887595946
93268298,15,Pipeline,0.852,28,0,0.027212253066713
93830111,15,Percentile,0.888999999999999,17.6555898858692,0,0.029143087234801
92581404,15,Percentile,0.871,28,0,0.028970492558058
45404408,16,Percentile,0.863999999999999,28,0,0.026317994331565
93835400,16,Threshold,0.908999999999999,16.8644220923929,0,0.028303928226654
93273595,15,Threshold,0.896000000000001,21.5782983970407,0,0.036465138119488
93551193,17,Pipeline,0.873000000000001,28,0,0.027441421843601
93276234,15,Pipeline,0.856999999999999,15.7197395014597,0,0.030858149077193
94104828,17,Pipeline,0.958,28,0,0.02725436933378
93555508,15,Pipeline,0.815,28,0,0.029298379092296
93550659,17,Pipeline,0.922000000000001,28,0,0.028162071640888
93549226,11,Percentile,0.571,18.299457551794,0,0.033435094901164
93550295,14,Threshold,0.887,27.4887099941096,0,0.033525051520682
93549309,11,Threshold,0.550000000000001,3.6917884077844,0,0.025228768073517
93266844,17,Pipeline,0.91,28,0,0.027004754438792
93270923,12,Percentile,0.699,1.80768783813447,0,0.030028343445943
94104511,16,Percentile,0.91,28,0,0.030751772228762
144759493,12,Threshold,0.681000000000001,28,0,0.029177061795884
93275779,16,Threshold,0.860999999999999,28,0,0.025597370903503
93912903,17,Pipeline,0.893000000000001,18.6393289841566,0,0.030813000603462
93012639,13,Threshold,0.891999999999999,28,0,0.025805119131448
93268933,16,Percentile,0.892999999999999,28,0,0.025883382965038
92740990,17,Threshold,0.799,28,0,0.026988824093004
93554453,17,Percentile,0.862,17.6555898858692,0,0.028566208915744
144758965,16,Pipeline,0.898,13.2325141776938,0,0.032879289622839
94182756,17,Pipeline,0.902000000000001,28,0,0.032228790676735
93268062,15,Percentile,0.849,28,0,0.028743451140048
