angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.194401,0,0,5561650943701887616,,,,20.778932299661186,21.36851806413527,19.449874593910565,,,,110.11561968001878,-39.9025589697938,2.674513844010666,1.3841919,-9.566679336035698,5.183011460815292,1.5164465,2.695709,1.0110502,20.771470655544196,2.674513844010666,0.45815910358051876,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,771176098,110.11567946930,-39.90258747041,,,,,,,5561650943701887616,,,STAR,gaia2,gaia2,-10.410,2.004,6.404,3.320,gaia2,1.5317,2.0091,21.914,0.246,20.764099,0.021212,19.677,0.051,gbprp,gaia2,,,,,,,,,,,1966.3000,1539.8900,0.2470,0.0330,1153.2000,1926.5800,110.11562104425,-39.90255989679
0.187756,3673811396027615136,0,5561657815652994816,,,,16.811157394429927,18.601372016470194,15.532234075929425,,,,110.44470415147484,-39.70147620026009,3.249335020710507,0.04727016,-10.09304568498335,6.201146709542979,0.05663568,0.055383433,1.0827554,16.811125,3.292831020710507,1.0,0.0,0.3231041967901454,1.0,0.003918,110.44470597479,-39.70147707919,5561657815652994816,3.24700043919089,-10.1106953039964,5.94488499151984,,272,16.84057,3.0523071,1.0,Collinder_135,,110.44476245533,-39.7015037609,284503500,110.44476255544,-39.70150267518,,,,07214674-3942053,,J072146.73-394205.3,5561657815652994816,,,STAR,tmgaia2,tmgaia2,-10.111,0.139,5.945,0.131,gaia2,3.2470,0.0707,,,16.840599,0.001348,15.439,0.009,cdwrf,cdwrf,3158.0,157.0,4.6833,0.0123,,,0.562,0.019,0.556,0.022,305.4950,6.6515,0.1120,0.0019,6.5090,6.7940,110.44470597479,-39.70147707919
0.204813,3673811396027618178,0,5561662415559565952,,,,18.699519943285758,20.61319573798523,17.379314397268814,,,,110.42889017661969,-39.583102170913286,3.3368679522711977,0.14756565,-10.456418675904457,6.76563852711136,0.16921777,0.18143883,1.0414977,18.699488,3.3660149522711977,0.6439397330074624,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,284503699,110.42895137093,-39.58313398992,,,,07214295-3934593,,J072142.95-393459.3,5561662415559565952,,,STAR,tmgaia2,tmgaia2,-10.612,0.342,7.158,0.385,gaia2,3.1453,0.2061,,,18.749800,0.002655,17.223,0.015,cdwrf,cdwrf,3081.0,160.0,4.9036,0.0150,,,0.321,0.022,0.300,0.030,317.3360,21.4050,0.1155,0.0060,19.9900,22.8200,110.42889208650,-39.58310317223
0.176030,0,0,5561713787663831168,,,,18.885860267659858,20.625172293576114,17.600855361128612,,,,109.40285490808154,-40.210888575435376,3.0837896215532865,0.16662748,-8.921495890152014,4.896376276558808,0.19418725,0.19357212,1.0525541,18.885828,3.1102526215532866,0.43407103885799664,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,771184900,109.40291105227,-40.21091208299,,,,,,,5561713787663831168,,,STAR,gaia2,gaia2,-9.671,0.462,5.293,0.419,gaia2,2.8653,0.2497,,,18.930599,0.002695,17.695,0.024,rered,gaia2,3319.0,146.0,,,,,,,,,349.8450,32.2070,0.1194,0.0079,29.3090,35.1050,109.40285652567,-40.21088929353
0.155502,3691896163281263553,0,5561713787667108736,,,,16.926745086271715,18.372032411545604,15.713425712201333,,,,109.40356839858221,-40.21020978045473,2.792735588894874,0.05781035,-8.636194322211594,4.666224448985801,0.06742664,0.066061065,1.1935304,16.926712,2.829704588894874,0.40602562423137584,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,22973476,109.40361806068,-40.21023045462,,,,07173686-4012368,,J071736.82-401237.2,5561713787667108736,,,STAR,tmgaia2,tmgaia2,-8.537,0.185,4.658,0.162,gaia2,2.6843,0.0996,18.198,0.049,16.941601,0.001179,15.655,0.008,cdwrf,cdwrf,3351.0,157.0,4.6730,0.0164,,,0.574,0.023,0.567,0.024,369.3620,13.7185,0.1242,0.0033,13.2180,14.2190,109.40356992767,-40.21021040056
0.193895,3727960144672316015,0,5561746081523943808,,,,18.796717615934806,20.60346070964806,17.450440743300682,,,,108.949055636622,-40.24285279741764,3.318263426117828,0.15940608,-9.722282832106178,6.826680045736615,0.18141212,0.19383802,1.0391965,18.796684,3.3461184261178283,0.8178162485972676,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,22869960,108.94911212088,-40.24288507693,,,,07154778-4014343,,J071547.77-401434.2,5561746081523943808,,,STAR,tmgaia2,tmgaia2,-9.695,0.411,7.284,0.453,gaia2,3.3887,0.2101,,,18.844000,0.004290,17.314,0.015,cdwrf,cdwrf,3197.0,166.0,4.9128,0.0138,,,0.312,0.021,0.290,0.029,294.4900,18.7805,0.0904,0.0044,17.6070,19.9540,108.94905743543,-40.24285371614
0.190919,3745939358809719487,0,5561797247470988288,,,,13.712294364195207,14.295955643025277,12.974876331334949,,,,108.9663412291728,-39.75858170572857,3.2271771496668102,0.011194144,-10.041256941513376,6.3806670096593585,0.012586118,0.013500023,0.99850315,13.712261,3.2607661496668103,1.0,0.0,0.3231041967901454,1.0,0.001292,108.96634305787,-39.75858259592,5561797247470988288,3.22640697345391,-10.109520769287,6.33588836188288,,239,13.732059,1.3515377,1.0,Collinder_135,5394.449,108.96639928193,-39.75861006423,22869430,108.96639967870,-39.75860987543,,,252-013999,07155193-3945309,,J071551.92-394530.9,5561797247470988288,17753052,,STAR,tmgaia2,tmgaia2,-10.109,0.028,6.336,0.029,gaia2,3.2264,0.0158,14.010,0.137,13.732100,0.003489,13.045,0.007,rered,gaia2,4848.0,126.0,4.4757,,,,0.851,,0.790,,307.1930,1.4995,0.1325,0.0005,1.4920,1.5070,108.96634305788,-39.75858259592
0.198189,3709892969604707985,0,5561823085994909056,,,,16.064030046869316,17.678405495503462,14.833709991750428,,,,109.57646810025904,-39.94324979144689,3.536009947094722,0.03246514,-10.381669055307807,6.711699365480741,0.03703582,0.038072187,1.0704943,16.063997,3.579900947094722,0.7574304955000317,0.0,0.3231041967901454,1.0,0.002318,109.57646997559,-39.9432507409,5561823085994909056,3.42304378852018,-10.3230807142111,6.84488570641574,,246,16.086107,2.8502111,1.0,Collinder_135,,109.57652828277,-39.94327962121,23046592,109.57652794849,-39.94328021194,,,,07181836-3956357,,J071818.35-395635.7,5561823085994909056,,,STAR,tmgaia2,tmgaia2,-10.323,0.103,6.845,0.101,gaia2,3.4230,0.0594,,,16.086100,0.000904,14.762,0.008,cdwrf,cdwrf,3255.0,157.0,4.6307,0.0127,,,0.624,0.020,0.608,0.021,289.8300,5.0260,0.1467,0.0020,4.9400,5.1120,109.57646997559,-39.94325074090
0.177820,3709892969604707898,0,5561823906329018496,,,,18.224250157741224,20.08882281301691,16.934377646048265,,,,109.46202688975052,-39.92276966957402,3.1968073883516386,0.1110775,-9.678434801340977,6.335790512799205,0.11996217,0.12979011,0.9994715,18.224216,3.2307353883516385,0.8794152034783125,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,23046537,109.46208057829,-39.92279695506,,,,07175089-3955220,,J071750.89-395521.9,5561823906329018496,,,STAR,tmgaia2,tmgaia2,-9.251,0.282,6.145,0.303,gaia2,3.4812,0.1752,,,18.268700,0.002041,16.839,0.012,cdwrf,cdwrf,3147.0,160.0,4.9041,0.0109,,,0.320,0.019,0.300,0.027,286.1150,14.7490,0.1243,0.0049,14.0030,15.4950,109.46202863994,-39.92277049648
0.178666,3691843386723141145,0,5561841326716709376,,,,18.71048732344525,20.968990887943185,17.364102621991687,,,,110.01650657445877,-39.73736468603406,3.234928195648198,0.14823925,-9.530863434083873,6.081603911873419,0.16027683,0.17231649,1.0202435,18.710455,3.264142195648198,0.8845424027406413,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,,29787129,110.01655931101,-39.73739329533,,,,07200398-3944145,,J072003.98-394414.7,5561841326716709376,,,STAR,tmgaia2,tmgaia2,-9.108,0.359,6.456,0.382,gaia2,3.3592,0.1972,,,18.751499,0.002800,17.232,0.013,cdwrf,cdwrf,3138.0,163.0,4.9021,0.0136,,,0.322,0.021,0.302,0.029,296.8770,17.8970,0.1108,0.0052,16.8390,18.9550,110.01650831589,-39.73736550069
