angDist,TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,target,filter,cluster,S/N,Teff,logg,gamma,Ks,RV_1,e_RV,logL,ra_epoch2000_GES,dec_epoch2000_GES,PLX,e_PLX,VRA,e_VRA,VDec,e_VDec,RV_2,SRV,Gflag,prob_p,p_filter,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
0.427084,3313241950861319110,0,5536048368781472384,,,,16.151243065510215,17.75383576749295,14.923782009896676,,,,116.79092903369131,-40.33005238305117,5.1529975021204715,0.032474183,-21.38475266877886,15.95889414807586,0.03706136,0.040464617,1.0076602,16.15121,5.196261502120471,0.8537235912729785,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001911,116.79093294756,-40.33005458991,5536048368781472384,5.14206152133919,-21.462790025796,15.868322932848,,248,16.182533,2.8328333,1.0,NGC_2451A,3136.5874,116.7910537088,-40.3301233114,175602256,116.79105416737,-40.33012291169,,,,07470984-4019484,,J074709.83-401948.2,5536048368781472384,,,STAR,tmgaia2,tmgaia2,-21.463,0.094,15.868,0.111,gaia2,5.1421,0.0544,,,16.182501,0.001422,14.865,0.008,cdwrf,cdwrf,3263.0,157.0,4.7709,0.0073,,,0.462,0.014,0.459,0.021,193.4240,2.0505,0.0918,0.0009,2.0290,2.0720,116.79093294756,-40.33005458991
0.425433,3385457874573597853,0,5536321975374505728,,,,16.66983652908188,18.565724620958903,15.375848427415105,,,,114.43568844781984,-41.29665762537253,5.372927209515577,0.04776059,-21.353394432647598,17.161397462717527,0.051689703,0.05759414,1.1141578,16.669804,5.418325209515577,0.3957849368975946,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.014667,114.43569242497,-41.29666000558,5536321975374505728,5.28481137676866,-20.9763903089817,16.2920208132277,,239,16.701683,3.1858063,1.0,NGC_2451A,2928.1758,114.4358147672,-41.29673389818,174470650,114.43581263639,-41.29673015163,,,,07374460-4117482,,J073744.57-411748.0,5536321975374505728,,,STAR,tmgaia2,tmgaia2,-20.976,0.128,16.292,0.149,gaia2,5.2848,0.0806,,,16.701700,0.000914,15.271,0.008,cdwrf,cdwrf,3097.0,157.0,4.8220,0.0054,,,0.405,0.013,0.397,0.021,188.2700,2.8810,0.1795,0.0024,2.8380,2.9240,114.43569242497,-41.29666000558
0.411554,3403472273083085528,0,5536513148658125568,,,,18.97875291197763,20.708561748960072,17.623793401721787,,,,114.11893139689224,-41.197000263521296,5.2069109699889795,0.18295701,-20.35896660396525,17.099065082503827,0.18055686,0.19771051,1.0208558,18.97872,5.23255096998898,0.3674994263237959,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174316229,114.11905080683,-41.19707094716,,,,07362857-4111494,,,5536513148658125568,,,STAR,tmgaia2,tmgaia2,-20.211,0.451,15.861,0.464,gaia2,5.1460,0.2543,,,19.022600,0.002873,17.449,0.021,cdwrf,cdwrf,3128.0,168.0,5.0747,0.0039,,,0.194,0.013,0.163,0.023,194.1100,9.8545,0.1744,0.0077,9.3640,10.3450,114.11893516058,-41.19700265852
0.420647,3403454680897062275,0,5536518719235375232,,,,13.303036157736102,13.830923980632882,12.623791739530732,,,,114.50590380749315,-41.043726534743044,3.7465581580743432,0.01118562,-20.689285970433474,16.204354744930754,0.011347849,0.015517817,0.9728662,13.303003,3.779939158074343,0.301140024737268,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174470218,114.50602581982,-41.04379854102,,,245-017462,07380145-4102377,,J073801.42-410237.4,5536518719235375232,20036472,,STAR,tmgaia2,tmgaia2,-20.704,0.032,16.199,0.036,gaia2,3.7248,0.0188,13.549,0.149,13.315300,0.000361,12.687,0.006,rered,gaia2,5177.0,121.1,4.6108,0.0837,,,0.769,0.043,0.880,0.102,266.4050,1.3480,0.1447,0.0104,1.3410,1.3550,114.50590762436,-41.04372879323
0.427066,3421486671592588013,0,5536529606974292224,,,,19.05158799470816,20.831252107005643,17.629714326494046,,,,113.9752519066088,-41.0541446053988,5.582971139799303,0.1839107,-21.50504290457005,16.762611025735588,0.18121362,0.20868206,0.9749294,19.025965163439665,5.582971139799303,0.48622926116997356,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174209757,113.97537612887,-41.05421739306,,,,07355409-4103151,,J073554.07-410316.2,5536529606974292224,,,STAR,tmgaia2,tmgaia2,-21.061,0.431,16.355,0.466,gaia2,5.4071,0.2558,,,19.064800,0.002760,17.441,0.017,cdwrf,cdwrf,2981.0,168.0,5.0299,0.0024,,,0.220,0.013,0.189,0.023,184.7200,8.8275,0.1333,0.0056,8.4140,9.2410,113.97525587750,-41.05414697748
0.013272,3421486671592572943,0,5536533012886424832,,,,20.133113448153388,21.43502870168076,18.70417993782714,,,,114.02704458736733,-40.89212642636392,3.6727539523695856,0.4570398,-19.401692167472792,17.681681666579948,0.5178123,0.59781975,1.0475883,20.111526650829333,3.6727539523695856,0.2172843940366604,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174210050,114.02704818256,-40.89212891721,,,,07360650-4053317,,J073606.43-405331.3,5536533012886424832,,,STAR,tmgaia2,tmgaia2,,,,,,,,21.351,0.213,20.161400,0.006367,19.061,0.048,gbprp,,,,,,,,,,,,,,,,,,114.02704818256,-40.89212891721
0.421599,3421469079406528920,0,5536535860445980288,,,,18.415987309692348,20.590210551483693,16.84064631904799,,,,114.35126688593593,-40.88812480276613,5.783691358544649,0.28804383,-22.28314311089941,17.47352442023942,0.31759712,0.39761397,1.7584158,18.390364163439664,5.783691358544649,0.2799291546817395,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174319156,114.35138632481,-40.88819938085,,,,07372434-4053175,,J073724.31-405317.3,5536535860445980288,,,STAR,tmgaia2,tmgaia2,-20.292,3.024,16.803,3.025,hsoy,,,,,18.343599,0.004978,16.694,0.016,cdwrf,cdwrf,2947.0,165.0,4.9840,0.0056,,,0.252,0.016,0.223,0.025,,,,,,,114.35127075417,-40.88812703337
0.424978,3457550652983640236,0,5536562287384921856,,,,16.93959905724695,18.37283391261125,15.138314591608726,,,,113.45025671381842,-41.08988174890539,4.97514327978388,0.5671451,-20.95592478710035,16.710590790792722,0.66301954,0.7268471,11.5814,16.913975163439662,4.97514327978388,0.49982914551790025,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173955833,113.45039848140,-41.08993194173,,,,07334810-4105237,,J073348.07-410523.4,5536562283085597696,,,STAR,tmgaia2,tmgaia2,-23.963,2.904,11.201,2.905,hsoy,,,,,16.724501,0.010948,15.458,0.013,gbprp,,,,,,,,,,,,,,,,,,113.45026158809,-41.08988371356
0.399802,3457533060797580642,0,5536574553810805504,,,,13.532004617088413,14.058854586392266,12.85232576741136,,,,113.4471065063059,-40.80737373780507,3.4481843920769397,0.010739464,-19.343718097408154,15.78347823761039,0.011543493,0.01301682,1.0355062,13.531972,3.48183139207694,0.25215537726616877,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173956317,113.44722041275,-40.80744373851,,,246-016967,07334733-4048268,,J073347.31-404826.6,5536574553810805504,20024795,,STAR,tmgaia2,tmgaia2,-19.398,0.027,15.750,0.033,gaia2,3.4313,0.0161,13.767,0.069,13.544600,0.000253,12.914,0.006,rered,gaia2,5158.0,133.5,4.6223,0.0911,,,0.754,0.047,0.870,0.111,289.0050,1.3575,0.1419,0.0101,1.3510,1.3640,113.44711007221,-40.80737592735
0.421101,0,0,5536670348757624064,,,,20.796092144249034,22.070861796400628,19.586771163778025,,,,115.37497786637832,-41.04517232007786,5.127682017470601,1.234636,-20.741540947232508,17.75839819261488,1.2400147,1.2984573,1.1111242,20.77868124848531,5.127682017470601,0.2853476175211819,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769705295,115.37507551030,-41.04526320114,,,,,,,5536670348757624064,,,STAR,gaia2,gaia2,-16.440,2.233,20.532,2.517,gaia2,4.0680,1.3298,21.455,0.185,20.862900,0.014297,19.994,0.060,rered,gaia2,,,,,,,,,,,325.9390,325.9390,0.1006,0.1196,143.5800,3458.5601,115.37498165470,-41.04517479865
