angDist,ID,RA,Dec,Obs date,Sem,RA_search,Dec_search,TIC,owner,name,date,wav,rho,theta,B/A,delm,see,rho*see,notes,g_group,ap_type,j-k,period,power,sigma,ra_tic,dec_tic,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected
0.002808,,,,,,,,92827857,,,,,,,,,,,,16,Pipeline,0.880000000000001,28.0,0,0.02848318804022,129.08714056231,-52.66998328327,129.08714183939,-52.66998337728,0.001,0.001,41,5321209809668118912,129.08696552774,0.0461,-52.6698784854,0.0483,6.5598,0.0517,126.7772,33.7,-24.056,0.065,23.601,0.063,336,6.3029,587.53,0.358,7.483,31,,,27,1.254,0,4955.34,6.0016,16.449682,612.679,8.43205,18.37046,7079.16,15.122942,3.247519,,,0,,,,,465757234,,0.003053,0.015201,0.004229,16.449682,0.003053,4955.34
0.000269,,,,,,,,93011540,,,,,,,,,,,,16,Pipeline,0.955,13.4093194770365,0,0.033711398755939,129.31689254174,-52.36101402002,129.31689260197,-52.36101395509,0.001,0.001,25,5321589862736049920,129.31671542219,0.0446,-52.36091063058,0.0443,6.5147,0.0496,131.4217,33.662,-24.345,0.059,23.248,0.053,383,1.2374,451.83,0.186,1.474,31,,,27,1.044,0,3427.12,2.65763,16.850042,434.247,7.63495,18.7442,4731.01,15.560512,3.183688,,,0,,,,,465776452,,0.002881,0.019292,0.004296,16.850042,0.002881,3427.12
0.00116,,,,,,,,93011965,,,,,,,,,,,,16,Percentile,1.207,28.0,0,0.024411461966713,129.23366509635,-52.52265946248,129.23366512337,-52.52265914065,0.001,0.001,96,5321212730245914752,129.23349293359,0.0273,-52.52255832103,0.0335,6.4273,0.0326,196.861,32.715,-23.573,0.036,22.684,0.04,347,-0.7106,339.24,0.0,0.0,31,,,26,0.972,0,7102.25,4.64237,16.058876,1152.18,12.2732,17.684742,9342.17,14.821776,2.862966,,,0,,,,,,,0.002845,0.011897,0.004438,16.058876,0.002845,7102.25
0.000709,IC2391f083702-5246,08:37:02.3,-52:46:59,20200114,GS2019B,08:37:02.3,-52:46:59,93012639,,,,,,,,,,,,13,Threshold,0.891999999999999,28.0,0,0.025805119131448,129.25941362314,-52.78315276946,129.25941329751,-52.78315276393,0.0,0.0,170,5321193729310746240,129.25924271177,0.0093,-52.78304746188,0.0094,6.5737,0.0103,638.4757,33.17,-23.215,0.012,23.693,0.012,436,2.285,468.57,0.0,1.936e-15,31,,,28,1.078,0,67350.3,55.6818,13.616519,20307.4,75.2722,14.569407,69186.1,12.647848,1.921558,,,0,,,,,465756364,,0.002898,0.004897,0.004398,13.616519,0.002898,67350.3
0.000102,IC2391m083724-5254,08:37:24.6,-52:54:11,20200112,GS2019B,08:37:24.6,-52:54:11,93012997,,,,,,,,,,,,12,Threshold,0.773999999999999,28.0,0,0.029429106283296,129.35264991207,-52.90303676107,129.3526499125,-52.90303673274,0.0,0.0,5,5321188953307253760,129.35247347702,0.0122,-52.90293663655,0.0127,6.5513,0.0135,484.806,32.872,-23.944,0.017,22.522,0.015,363,6.8683,897.64,0.115,14.82,31,,,28,1.266,0,129017.0,310.079,12.910749,47547.8,434.546,13.645717,117456.0,12.073209,1.572508,15.5,4.71,8,4000.0,3.0,,,465754773,,0.003795,0.010308,0.007376,12.910749,0.003795,129017.0
0.001117,,,,,,,,93013088,,,,,,,,,,,,17,Percentile,1.018,28.0,0,0.027768549698003,129.32573659929,-52.93246355997,129.32573643708,-52.93246385443,0.002,0.002,170,5321188059954151168,129.3255559953,0.0813,-52.93236134896,0.0876,6.6842,0.0889,75.1859,33.627,-24.472,0.12,23.064,0.108,348,1.6108,406.83,0.302,1.188,31,,,26,1.061,0,1370.77,11.8471,17.844955,249.664,27.7744,19.345154,1922.85,16.53803,2.807123,,,0,,,,,465754890,,0.00978,0.120817,0.01833,17.844955,0.00978,1370.77
0.002549,IC2391b083654-5308,08:36:55.0,-53:08:34,20190522,GS2019A,08:36:55.0,-53:08:34,93013696,,,,,,,,,,,,11,Threshold,0.503,4.08222772998979,0,0.032758159262399,129.22912566929,-53.14285310096,129.22912491025,-53.14285364324,0.0,0.0,180,5318176875565072768,129.22894816886,0.0118,-53.14274730828,0.01,6.7427,0.0119,566.8832,33.784,-23.853,0.015,23.925,0.012,350,-4.273,941.23,0.095,13.84,31,,,24,0.841,0,548829.0,837.523,11.338775,275783.0,1463.0,11.737124,389979.0,10.770293,0.96683,16.2,1.52,8,5000.0,4.5,,,465759967,,0.003215,0.0064,0.005547,11.338775,0.003215,548829.0
0.00123,IC2391f083715-5320,08:37:15.2,-53:20:18,20200110,GS2019B,08:37:15.2,-53:20:18,93014257,,,,,,,,,,,,13,Threshold,0.843,4.36008035005217,0,0.031459323527953,129.31337202055,-53.33843710736,129.31337175521,-53.33843741015,0.0,0.0,19,5318170828251553792,129.31319319756,0.0097,-53.33833457873,0.0098,6.5971,0.0107,618.859,33.328,-23.988,0.013,23.137,0.012,353,1.2103,358.98,0.0,0.0,31,,,27,1.045,0,79078.0,141.998,13.442227,25193.8,178.07,14.335309,79117.1,12.502219,1.83309,9.66,12.47,9,5500.0,4.5,,,465750627,,0.003375,0.008166,0.006167,13.442227,0.003375,79078.0
0.008437,,,,,,,,93016462,,,,,,,,,,,,17,Pipeline,0.896000000000001,12.5173230810497,0,0.029278771299509,129.41908043964,-53.7660826971,129.41908375343,-53.76608398377,0.001,0.001,130,5318079014723994624,129.41889868058,0.0535,-53.76597330653,0.0556,6.8629,0.0627,109.3852,35.014,-24.614,0.08,24.902,0.082,342,-0.4716,367.81,0.0,0.0,31,,,24,0.981,0,2344.87,4.4312,17.26207,272.997,7.49345,19.248148,3355.43,15.933524,3.314624,,,0,,,,,465821080,,0.003435,0.029933,0.006532,17.26207,0.003435,2344.87
0.00236,IC2391b083751-5345,08:37:51.6,-53:45:46,20190522,GS2019A,08:37:51.6,-53:45:46,93016484,,,,,,,,,,,,11,Percentile,0.436999999999999,4.5306710247407,0,0.027005785334797,129.46486763036,-53.76271807207,129.46486697208,-53.76271859955,0.0,0.0,165,5318077507199948672,129.4646817066,0.0104,-53.76261237611,0.0105,6.6639,0.0117,571.433,34.328,-24.641,0.015,23.9,0.013,344,-4.8901,844.02,0.098,16.46,31,,,25,0.817,0,602675.0,608.412,11.237159,308192.0,1024.89,11.616488,420332.0,10.688914,0.927574,14.86,0.8,8,5500.0,4.5,,,465820932,,0.002965,0.004563,0.00466,11.237159,0.002965,602675.0
