TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
22531357,CDIPS,7,PCA2,2.0438,0.0235,0.0223
22531357,CDIPS,7,PCA2,2.2848,0.0356,0.0223
22531357,CDIPS,7,PCA2,2.6081,0.0993,0.0223
22531357,CDIPS,7,PCA2,3.5306,0.2653,0.0223
22531357,CDIPS,7,PCA2,4.5733,0.3997,0.0223
22531357,CDIPS,7,PCA3,2.3219,0.0255,0.0216
22531357,CDIPS,7,PCA3,9.2748,0.0264,0.0216
22531357,CDIPS,7,PCA3,2.6612,0.0894,0.0216
22531357,CDIPS,7,PCA3,6.0458,0.1838,0.0216
22531357,CDIPS,7,PCA3,3.4978,0.2372,0.0216
22531357,CDIPS,7,PCA3,4.4056,0.6118,0.0216
22531357,CDIPS,7,TFA1,6.3796,0.0371,0.0288
22531357,CDIPS,7,TFA1,2.3291,0.0416,0.0288
22531357,CDIPS,7,TFA1,2.6425,0.0603,0.0288
22531357,CDIPS,7,TFA1,3.5265,0.1163,0.0288
22531357,CDIPS,7,TFA1,4.4579,0.22,0.0288
22531357,CDIPS,7,TFA2,2.6707,0.0552,0.0239
22531357,CDIPS,7,TFA2,2.3255,0.0633,0.0239
22531357,CDIPS,7,TFA2,3.5557,0.1194,0.0239
22531357,CDIPS,7,TFA2,4.5803,0.1382,0.0239
22531357,CDIPS,7,TFA3,3.0441,0.0241,0.024
22531357,CDIPS,7,TFA3,6.3259,0.035,0.024
22531357,CDIPS,7,TFA3,3.62,0.0386,0.024
22531357,CDIPS,7,TFA3,2.3147,0.0473,0.024
22531357,CDIPS,7,TFA3,4.5251,0.0862,0.024
22533901,CDIPS,7,PCA1,2.1867,0.0239,0.0237
22533901,CDIPS,7,PCA1,0.1525,0.0249,0.0237
22533901,CDIPS,7,PCA1,4.1847,0.0308,0.0237
22533901,CDIPS,7,PCA1,0.5517,0.0442,0.0237
22533901,CDIPS,7,PCA2,4.0169,0.0239,0.0234
22533901,CDIPS,7,PCA2,0.2753,0.0298,0.0234
22533901,CDIPS,7,PCA2,0.5505,0.0689,0.0234
22533901,CDIPS,7,PCA3,0.4594,0.0243,0.024
22533901,CDIPS,7,PCA3,0.2754,0.0266,0.024
22533901,CDIPS,7,PCA3,0.1524,0.0311,0.024
22533901,CDIPS,7,PCA3,0.5509,0.0801,0.024
22533901,CDIPS,7,TFA1,0.1526,0.0354,0.0241
22533901,CDIPS,7,TFA1,0.551,0.0447,0.0241
22533901,CDIPS,7,TFA2,0.1524,0.0385,0.0277
22533901,CDIPS,7,TFA2,0.5504,0.0444,0.0277
22533901,CDIPS,7,TFA3,0.2753,0.0284,0.0238
22533901,CDIPS,7,TFA3,0.1524,0.03,0.0238
22533901,CDIPS,7,TFA3,0.5503,0.0416,0.0238
22533901,PATHOS,7,ap1_flux_cor,2.3732,0.0273,0.0227
22533901,PATHOS,7,ap1_flux_cor,2.1248,0.0535,0.0227
22533901,PATHOS,7,ap1_flux_cor,4.4579,0.0825,0.0227
22533901,PATHOS,7,ap1_flux_cor,5.648,0.158,0.0227
22533901,PATHOS,7,ap1_flux_cor,10.849,0.4028,0.0227
22533901,PATHOS,7,ap2_flux_cor,4.0768,0.0259,0.0242
22533901,PATHOS,7,ap2_flux_cor,0.5515,0.0273,0.0242
22533901,PATHOS,7,ap2_flux_cor,11.1304,0.4683,0.0242
22533901,PATHOS,7,ap3_flux_cor,5.067,0.0313,0.0258
22533901,PATHOS,7,ap3_flux_cor,0.5509,0.0441,0.0258
22533901,PATHOS,7,ap3_flux_cor,30.0674,0.3876,0.0258
22533901,PATHOS,7,psf_flux_cor,6.0337,0.0884,0.0253
22533901,PATHOS,7,psf_flux_cor,12.7887,0.4667,0.0253
22533901,QLP,7,sap_flux,0.1525,0.0235,0.0221
22533901,QLP,7,sap_flux,0.2749,0.0253,0.0221
22533901,QLP,7,sap_flux,5.648,0.0343,0.0221
22533901,QLP,7,sap_flux,14.5192,0.0696,0.0221
22533901,QLP,7,sap_flux,0.5498,0.0713,0.0221
22534101,PATHOS,7,ap1_flux_cor,6.0458,0.0334,0.0214
22534101,PATHOS,7,ap1_flux_cor,12.5221,0.1116,0.0214
22534101,PATHOS,7,ap1_flux_cor,1.0378,0.1351,0.0214
22534101,PATHOS,7,ap2_flux_cor,1.0349,0.0885,0.0243
22534101,PATHOS,7,ap2_flux_cor,41.2007,0.1559,0.0243
22534101,PATHOS,7,ap3_flux_cor,1.0342,0.0371,0.0255
22534101,PATHOS,7,ap3_flux_cor,47.749,0.111,0.0255
22534101,PATHOS,7,psf_flux_cor,44.2338,0.1595,0.0246
22534101,PATHOS,7,psf_flux_cor,1.036,0.1643,0.0246
22534317,CDIPS,7,PCA1,2.3807,0.0342,0.0236
22534317,CDIPS,7,PCA1,3.0075,0.1188,0.0236
22534317,CDIPS,7,PCA1,3.6419,0.5328,0.0236
22534317,CDIPS,7,PCA2,1.9858,0.0255,0.0232
22534317,CDIPS,7,PCA2,2.4132,0.0439,0.0232
22534317,CDIPS,7,PCA2,4.7693,0.0662,0.0232
22534317,CDIPS,7,PCA2,3.6776,0.565,0.0232
22534317,CDIPS,7,PCA3,8.8906,0.0773,0.0249
22534317,CDIPS,7,PCA3,3.6821,0.413,0.0249
22534317,CDIPS,7,TFA1,2.9955,0.039,0.0232
22534317,CDIPS,7,TFA1,3.6375,0.1835,0.0232
22534317,CDIPS,7,TFA2,3.0565,0.0347,0.0233
22534317,CDIPS,7,TFA2,3.7048,0.1507,0.0233
22534317,CDIPS,7,TFA3,3.6641,0.0499,0.024
22534317,PATHOS,7,ap1_flux_cor,20.5888,0.0775,0.0221
22534317,PATHOS,7,ap1_flux_cor,3.7002,0.5926,0.0221
22534317,PATHOS,7,ap2_flux_cor,5.8345,0.037,0.0277
22534317,PATHOS,7,ap2_flux_cor,7.9919,0.0727,0.0277
22534317,PATHOS,7,ap2_flux_cor,3.7417,0.2287,0.0277
22534317,PATHOS,7,ap2_flux_cor,40.6433,0.4501,0.0277
