TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
113668546,CDIPS,8,TFA1,0.7698,0.0596,0.0358
113668546,CDIPS,8,TFA1,0.7002,0.1457,0.0358
113668546,CDIPS,8,TFA2,0.1466,0.0307,0.0282
113668546,CDIPS,8,TFA2,0.4197,0.0341,0.0282
113668546,CDIPS,8,TFA2,0.1682,0.0375,0.0282
113668546,CDIPS,8,TFA2,0.1419,0.0395,0.0282
113668546,CDIPS,8,TFA2,0.7696,0.053,0.0282
113668546,CDIPS,8,TFA2,0.6974,0.1232,0.0282
113668546,CDIPS,8,TFA3,0.1465,0.0302,0.0294
113668546,CDIPS,8,TFA3,0.1682,0.0303,0.0294
113668546,CDIPS,8,TFA3,0.4094,0.0306,0.0294
113668546,CDIPS,8,TFA3,0.769,0.0489,0.0294
113668546,CDIPS,8,TFA3,0.4195,0.0616,0.0294
113668546,CDIPS,8,TFA3,0.6985,0.1263,0.0294
113668546,QLP,8,sap_flux,0.4198,0.0265,0.0254
113668546,QLP,8,sap_flux,2.3005,0.0273,0.0254
113668546,QLP,8,sap_flux,0.8238,0.0311,0.0254
113668546,QLP,8,sap_flux,3.1395,0.0318,0.0254
113668546,QLP,8,sap_flux,1.6553,0.0324,0.0254
113668546,QLP,8,sap_flux,2.6402,0.0331,0.0254
113668546,QLP,8,sap_flux,1.0643,0.0368,0.0254
113668546,QLP,8,sap_flux,0.7649,0.0518,0.0254
113668546,QLP,8,sap_flux,0.7002,0.065,0.0254
113668546,QLP,8,sap_flux,4.8777,0.0741,0.0254
113668546,QLP,8,sap_flux,8.0132,0.084,0.0254
113668546,QLP,8,sap_flux,19.3927,0.2317,0.0254
113668827,PATHOS,8,ap1_flux_cor,4.8385,0.0473,0.0332
113668827,PATHOS,8,ap1_flux_cor,6.604,0.1045,0.0332
113668827,PATHOS,8,ap1_flux_cor,10.5444,0.1679,0.0332
113668827,PATHOS,8,ap2_flux_cor,3.7889,0.0632,0.0314
113668827,PATHOS,8,ap2_flux_cor,10.9279,0.1684,0.0314
113668827,PATHOS,8,ap2_flux_cor,35.8001,0.5966,0.0314
113668827,PATHOS,8,ap3_flux_cor,3.8373,0.0594,0.0409
113668827,PATHOS,8,ap3_flux_cor,11.3834,0.2676,0.0409
113668827,PATHOS,8,ap3_flux_cor,32.6843,0.7943,0.0409
113668827,PATHOS,8,psf_flux_cor,3.8521,0.0372,0.0328
113668827,PATHOS,8,psf_flux_cor,2.9399,0.0659,0.0328
113668827,PATHOS,8,psf_flux_cor,11.0893,0.1902,0.0328
130795662,QLP,8,sap_flux,2.3436,0.0343,0.0266
130795662,QLP,8,sap_flux,2.3436,0.0343,0.0263
130795662,QLP,8,sap_flux,2.3436,0.0343,0.0253
130795662,QLP,8,sap_flux,2.3436,0.0343,0.026
130795662,QLP,8,sap_flux,6.8448,0.122,0.0253
130795662,QLP,8,sap_flux,6.8448,0.122,0.026
130795662,QLP,8,sap_flux,6.8448,0.122,0.0263
130795662,QLP,8,sap_flux,6.8448,0.122,0.0266
130795662,QLP,8,sap_flux,4.6155,0.1319,0.0253
130795662,QLP,8,sap_flux,4.6155,0.1319,0.026
130795662,QLP,8,sap_flux,4.6155,0.1319,0.0263
130795662,QLP,8,sap_flux,4.6155,0.1319,0.0266
130795662,QLP,8,sap_flux,13.4771,0.3276,0.0263
130795662,QLP,8,sap_flux,13.4771,0.3276,0.0266
130795662,QLP,8,sap_flux,13.4771,0.3276,0.026
130795662,QLP,8,sap_flux,13.4771,0.3276,0.0253
130796747,CDIPS,8,PCA1,2.4607,0.0314,0.0273
130796747,CDIPS,8,PCA3,2.5121,0.043,0.0286
130796747,CDIPS,8,PCA3,4.9995,0.0504,0.0286
130796747,CDIPS,8,PCA3,3.5854,0.0505,0.0286
130796747,CDIPS,8,PCA3,2.9456,0.0614,0.0286
130796747,PATHOS,8,ap1_flux_cor,3.1828,0.0375,0.0331
130796747,PATHOS,8,ap1_flux_cor,5.8345,0.1465,0.0331
130796747,PATHOS,8,ap1_flux_cor,12.3168,0.3078,0.0331
130796747,PATHOS,8,ap2_flux_cor,4.6656,0.0373,0.0368
130796747,PATHOS,8,ap2_flux_cor,11.5143,0.4579,0.0368
130796747,PATHOS,8,ap2_flux_cor,34.9668,0.7779,0.0368
130796747,PATHOS,8,ap3_flux_cor,1.4266,0.0396,0.0379
130796747,PATHOS,8,ap3_flux_cor,1.5352,0.0448,0.0379
130796747,PATHOS,8,ap3_flux_cor,5.585,0.0524,0.0379
130796747,PATHOS,8,ap3_flux_cor,7.9707,0.0742,0.0379
130796747,PATHOS,8,ap3_flux_cor,2.9514,0.0907,0.0379
130796747,PATHOS,8,ap3_flux_cor,31.9883,0.2816,0.0379
130796747,PATHOS,8,psf_flux_cor,3.7511,0.0335,0.0333
130796747,PATHOS,8,psf_flux_cor,2.9601,0.0669,0.0333
130796747,PATHOS,8,psf_flux_cor,5.7562,0.0806,0.0333
130796747,PATHOS,8,psf_flux_cor,12.2166,0.2565,0.0333
130797034,CDIPS,8,PCA1,3.7186,0.0318,0.0289
130797034,CDIPS,8,PCA1,1.0854,0.032,0.0289
130797034,CDIPS,8,PCA1,3.1895,0.0335,0.0289
130797034,CDIPS,8,PCA1,4.5251,0.0536,0.0289
130797034,CDIPS,8,PCA1,1.9676,0.2822,0.0289
130797034,CDIPS,8,PCA1,2.2059,0.7794,0.0289
130797034,CDIPS,8,PCA2,1.0819,0.0278,0.0277
130797034,CDIPS,8,PCA2,3.1828,0.0317,0.0277
130797034,CDIPS,8,PCA2,5.7016,0.0423,0.0277
130797034,CDIPS,8,PCA2,4.4382,0.0482,0.0277
130797034,CDIPS,8,PCA2,2.2011,0.8061,0.0277
130797034,CDIPS,8,PCA3,1.0827,0.0307,0.0281
130797034,CDIPS,8,PCA3,3.7557,0.0376,0.0281
130797034,CDIPS,8,PCA3,3.2066,0.0411,0.0281
130797034,CDIPS,8,PCA3,4.5873,0.0453,0.0281
130797034,CDIPS,8,PCA3,1.9637,0.2804,0.0281
130797034,CDIPS,8,PCA3,2.2059,0.7888,0.0281
130797034,CDIPS,8,TFA1,1.0949,0.0307,0.0304
130797034,CDIPS,8,TFA1,1.4822,0.0349,0.0304
130797034,CDIPS,8,TFA1,2.1914,0.2617,0.0304
130797034,CDIPS,8,TFA2,1.0707,0.0344,0.0264
130797034,CDIPS,8,TFA2,1.6608,0.0432,0.0264
130797034,CDIPS,8,TFA2,2.2108,0.2972,0.0264
130797034,CDIPS,8,TFA3,1.2037,0.0358,0.0277
130797034,CDIPS,8,TFA3,1.0768,0.0603,0.0277
130797034,CDIPS,8,TFA3,2.1662,0.2187,0.0277
130797034,PATHOS,8,ap1_flux_cor,4.6368,0.1342,0.0396
130797034,PATHOS,8,ap1_flux_cor,6.26,0.1407,0.0396
130797034,PATHOS,8,ap1_flux_cor,1.9421,0.1663,0.0396
130797034,PATHOS,8,ap1_flux_cor,17.4751,0.2094,0.0396
130797034,PATHOS,8,ap1_flux_cor,2.5248,0.2951,0.0396
130797034,PATHOS,8,ap1_flux_cor,2.1914,0.6897,0.0396
130797034,PATHOS,8,ap2_flux_cor,3.2552,0.0368,0.033
130797034,PATHOS,8,ap2_flux_cor,1.0925,0.0399,0.033
130797034,PATHOS,8,ap2_flux_cor,4.6013,0.0435,0.033
130797034,PATHOS,8,ap2_flux_cor,7.9919,0.0646,0.033
130797034,PATHOS,8,ap2_flux_cor,1.9599,0.2868,0.033
130797034,PATHOS,8,ap2_flux_cor,2.1995,0.7571,0.033
130797034,PATHOS,8,ap3_flux_cor,3.7511,0.0384,0.0337
130797034,PATHOS,8,ap3_flux_cor,1.0937,0.0452,0.0337
130797034,PATHOS,8,ap3_flux_cor,5.9266,0.0512,0.0337
130797034,PATHOS,8,ap3_flux_cor,4.5803,0.0651,0.0337
130797034,PATHOS,8,ap3_flux_cor,1.9599,0.3323,0.0337
130797034,PATHOS,8,ap3_flux_cor,2.2011,0.8766,0.0337
130797034,PATHOS,8,psf_flux_cor,3.7557,0.0313,0.0298
130797034,PATHOS,8,psf_flux_cor,3.2447,0.0315,0.0298
130797034,PATHOS,8,psf_flux_cor,1.0945,0.0363,0.0298
130797034,PATHOS,8,psf_flux_cor,4.5803,0.0611,0.0298
130797034,PATHOS,8,psf_flux_cor,5.9033,0.064,0.0298
130797034,PATHOS,8,psf_flux_cor,8.1656,0.0792,0.0298
130797034,PATHOS,8,psf_flux_cor,14.6609,0.0997,0.0298
130797034,PATHOS,8,psf_flux_cor,1.9624,0.286,0.0298
130797034,PATHOS,8,psf_flux_cor,2.2043,0.7567,0.0298
130797034,QLP,8,sap_flux,2.8669,0.0552,0.0288
130797034,QLP,8,sap_flux,5.8232,0.0553,0.0288
130797034,QLP,8,sap_flux,3.5769,0.1185,0.0288
130797034,QLP,8,sap_flux,4.3672,0.1194,0.0288
130797034,QLP,8,sap_flux,2.5017,0.131,0.0288
130797034,QLP,8,sap_flux,19.1456,0.2162,0.0288
130797034,QLP,8,sap_flux,2.1883,0.422,0.0288
130797037,CDIPS,8,PCA1,1.0854,0.0318,0.0293
130797037,CDIPS,8,PCA1,3.1895,0.035,0.0293
130797037,CDIPS,8,PCA1,3.7186,0.0356,0.0293
130797037,CDIPS,8,PCA1,4.5319,0.0557,0.0293
130797037,CDIPS,8,PCA1,1.9676,0.2821,0.0293
130797037,CDIPS,8,PCA1,2.2059,0.7762,0.0293
130797037,CDIPS,8,PCA2,3.1794,0.0302,0.0299
130797037,CDIPS,8,PCA2,3.6686,0.0308,0.0299
130797037,CDIPS,8,PCA2,5.6908,0.0471,0.0299
130797037,CDIPS,8,PCA2,4.4316,0.0482,0.0299
130797037,CDIPS,8,PCA2,1.9663,0.2694,0.0299
130797037,CDIPS,8,PCA2,2.2027,0.8007,0.0299
130797037,CDIPS,8,PCA3,3.7557,0.0394,0.0318
130797037,CDIPS,8,PCA3,3.2066,0.0435,0.0318
130797037,CDIPS,8,PCA3,4.5873,0.0444,0.0318
130797037,CDIPS,8,PCA3,1.9637,0.2807,0.0318
130797037,CDIPS,8,PCA3,2.2059,0.7857,0.0318
130797037,CDIPS,8,TFA1,1.4829,0.0351,0.0307
130797037,CDIPS,8,TFA1,2.1914,0.2614,0.0307
130797037,CDIPS,8,TFA2,1.0707,0.0342,0.0289
130797037,CDIPS,8,TFA2,1.6608,0.0435,0.0289
130797037,CDIPS,8,TFA2,2.2108,0.2973,0.0289
130797037,CDIPS,8,TFA3,1.2037,0.0352,0.0328
130797037,CDIPS,8,TFA3,1.0765,0.0604,0.0328
130797037,CDIPS,8,TFA3,2.1662,0.2183,0.0328
130797037,PATHOS,8,ap1_flux_cor,4.4846,0.1041,0.033
130797037,PATHOS,8,ap1_flux_cor,6.0216,0.1596,0.033
130797037,PATHOS,8,ap1_flux_cor,1.9497,0.1821,0.033
130797037,PATHOS,8,ap1_flux_cor,17.374,0.2067,0.033
130797037,PATHOS,8,ap1_flux_cor,2.5227,0.316,0.033
130797037,PATHOS,8,ap1_flux_cor,2.1946,0.7044,0.033
130797037,PATHOS,8,ap2_flux_cor,1.0925,0.0398,0.0364
130797037,PATHOS,8,ap2_flux_cor,4.5943,0.0416,0.0364
130797037,PATHOS,8,ap2_flux_cor,7.9077,0.0588,0.0364
130797037,PATHOS,8,ap2_flux_cor,1.9611,0.2862,0.0364
130797037,PATHOS,8,ap2_flux_cor,2.2011,0.7647,0.0364
130797037,PATHOS,8,ap3_flux_cor,3.7511,0.0379,0.0335
130797037,PATHOS,8,ap3_flux_cor,1.0937,0.0448,0.0335
130797037,PATHOS,8,ap3_flux_cor,5.9149,0.05,0.0335
130797037,PATHOS,8,ap3_flux_cor,4.5733,0.0636,0.0335
130797037,PATHOS,8,ap3_flux_cor,1.9599,0.3356,0.0335
130797037,PATHOS,8,ap3_flux_cor,2.2011,0.8781,0.0335
130797037,PATHOS,8,psf_flux_cor,1.0933,0.0385,0.0376
130797037,PATHOS,8,psf_flux_cor,4.5664,0.0609,0.0376
130797037,PATHOS,8,psf_flux_cor,5.8802,0.0628,0.0376
130797037,PATHOS,8,psf_flux_cor,8.0778,0.0773,0.0376
130797037,PATHOS,8,psf_flux_cor,14.5192,0.1078,0.0376
130797037,PATHOS,8,psf_flux_cor,1.9637,0.2879,0.0376
130797037,PATHOS,8,psf_flux_cor,2.2027,0.7566,0.0376
130797037,QLP,8,sap_flux,2.8669,0.0567,0.0276
130797037,QLP,8,sap_flux,5.8459,0.0568,0.0276
130797037,QLP,8,sap_flux,4.3736,0.1177,0.0276
130797037,QLP,8,sap_flux,3.5811,0.1198,0.0276
130797037,QLP,8,sap_flux,2.5017,0.132,0.0276
130797037,QLP,8,sap_flux,19.1456,0.2142,0.0276
130797037,QLP,8,sap_flux,2.1883,0.4152,0.0276
130797038,CDIPS,8,PCA1,0.3127,0.0381,0.0293
130797038,CDIPS,8,PCA1,0.6492,0.2371,0.0293
130797038,CDIPS,8,PCA1,0.6049,0.2504,0.0293
130797038,CDIPS,8,PCA1,0.6262,0.9345,0.0293
130797038,CDIPS,8,PCA2,0.3126,0.0392,0.0295
130797038,CDIPS,8,PCA2,0.649,0.221,0.0295
130797038,CDIPS,8,PCA2,0.6047,0.2581,0.0295
130797038,CDIPS,8,PCA2,0.6262,0.9339,0.0295
130797038,CDIPS,8,PCA3,0.3127,0.0389,0.0254
130797038,CDIPS,8,PCA3,0.6492,0.2293,0.0254
130797038,CDIPS,8,PCA3,0.6047,0.2522,0.0254
130797038,CDIPS,8,PCA3,0.6263,0.9225,0.0254
130797038,CDIPS,8,TFA1,0.6049,0.197,0.0293
130797038,CDIPS,8,TFA1,0.6492,0.2023,0.0293
130797038,CDIPS,8,TFA1,0.6262,0.6214,0.0293
130797038,CDIPS,8,TFA2,0.3126,0.0453,0.0278
130797038,CDIPS,8,TFA2,0.6489,0.1381,0.0278
130797038,CDIPS,8,TFA2,0.6043,0.197,0.0278
130797038,CDIPS,8,TFA2,0.626,0.5557,0.0278
130797038,CDIPS,8,TFA3,0.3129,0.034,0.0294
130797038,CDIPS,8,TFA3,0.6049,0.1784,0.0294
130797038,CDIPS,8,TFA3,0.6494,0.1929,0.0294
130797038,CDIPS,8,TFA3,0.6264,0.6287,0.0294
130797038,PATHOS,8,ap1_flux_cor,0.3125,0.0336,0.0329
130797038,PATHOS,8,ap1_flux_cor,0.6503,0.3263,0.0329
130797038,PATHOS,8,ap1_flux_cor,0.604,0.3497,0.0329
130797038,PATHOS,8,ap1_flux_cor,0.6262,0.9308,0.0329
130797038,PATHOS,8,ap2_flux_cor,0.3125,0.0353,0.0327
130797038,PATHOS,8,ap2_flux_cor,0.6503,0.3235,0.0327
130797038,PATHOS,8,ap2_flux_cor,0.604,0.3476,0.0327
130797038,PATHOS,8,ap2_flux_cor,0.6262,0.9422,0.0327
130797038,PATHOS,8,ap3_flux_cor,0.6502,0.3247,0.0371
130797038,PATHOS,8,ap3_flux_cor,0.6039,0.3416,0.0371
130797038,PATHOS,8,ap3_flux_cor,0.6262,0.9349,0.0371
130797038,PATHOS,8,psf_flux_cor,0.3125,0.0344,0.0322
130797038,PATHOS,8,psf_flux_cor,0.6503,0.3183,0.0322
130797038,PATHOS,8,psf_flux_cor,0.6039,0.3428,0.0322
130797038,PATHOS,8,psf_flux_cor,0.6262,0.9283,0.0322
130797038,QLP,8,sap_flux,9.6938,0.055,0.0252
130797038,QLP,8,sap_flux,19.3927,0.0595,0.0252
130797038,QLP,8,sap_flux,0.6262,0.6483,0.0252
130798010,PATHOS,8,ap1_flux_cor,3.7889,0.0344,0.0327
130798010,PATHOS,8,ap1_flux_cor,0.368,0.0345,0.0327
130798010,PATHOS,8,ap1_flux_cor,32.3326,0.6708,0.0327
130798010,PATHOS,8,ap2_flux_cor,1.6436,0.0443,0.0384
130798010,PATHOS,8,ap2_flux_cor,9.1062,0.0531,0.0384
130798010,PATHOS,8,ap2_flux_cor,4.5943,0.0565,0.0384
130798010,PATHOS,8,ap2_flux_cor,0.3678,0.0571,0.0384
130798010,PATHOS,8,ap2_flux_cor,6.1073,0.0638,0.0384
130798010,PATHOS,8,ap3_flux_cor,11.0893,0.0667,0.0392
130798010,PATHOS,8,ap3_flux_cor,1.6355,0.0668,0.0392
130798010,PATHOS,8,ap3_flux_cor,42.9685,0.2961,0.0392
130798010,PATHOS,8,psf_flux_cor,1.6311,0.0388,0.0335
130798010,PATHOS,8,psf_flux_cor,0.3682,0.0821,0.0335
130798010,PATHOS,8,psf_flux_cor,42.9685,0.1231,0.0335
130799014,CDIPS,8,PCA1,0.2054,0.0517,0.028
130799014,CDIPS,8,PCA1,0.2008,0.0595,0.028
130799014,CDIPS,8,PCA1,0.3679,0.0674,0.028
130799014,CDIPS,8,PCA1,0.4157,0.1667,0.028
130799014,CDIPS,8,PCA1,0.3971,0.1849,0.028
130799014,CDIPS,8,PCA1,0.2031,0.2362,0.028
130799014,CDIPS,8,PCA1,0.4063,0.6724,0.028
130799014,CDIPS,8,PCA2,0.2054,0.0491,0.0284
130799014,CDIPS,8,PCA2,0.2007,0.0552,0.0284
130799014,CDIPS,8,PCA2,0.3679,0.0615,0.0284
130799014,CDIPS,8,PCA2,0.4157,0.1658,0.0284
