TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin
3799912185593935148,0,5565020500168379520,nan,nan,nan,16.906989658542418,18.506788846973315,15.700159680850076,nan,nan,nan,109.14792425402953,-38.310609056452,3.5584405281834823,0.05687872,-10.998993382351838,6.446318246227482,0.06571544,0.07968878,1.0695691,16.906956,3.5957335281834824,0.46127839197081816,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3817944176289465091,0,5565030258333277440,nan,nan,nan,15.365576140001593,16.242603469593803,14.4420462428067,nan,nan,nan,108.74013082054933,-38.27587991705806,2.8696457638498014,0.022301398,-8.59966152911086,5.751795188748131,0.024630843,0.024784377,1.0007284,15.365543,2.9055877638498013,0.44833972312482484,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3817944176289468903,0,5565031667083906944,nan,nan,nan,19.48886043782466,21.456213990820252,18.086345480384715,nan,nan,nan,108.82212297409895,-38.198553705677845,3.6615314535756416,0.27309382,-10.395201321771136,6.526928372289033,0.2883671,0.3333936,1.0580765,19.463236163439664,3.6615314535756416,0.7219221269504357,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3817926584103424676,0,5565035549733685120,nan,nan,nan,17.113169459840734,18.70707776612408,15.894085418674155,nan,nan,nan,109.04670476144855,-38.14232840717167,3.1515311826233523,0.064355165,-9.873793348779902,6.210621182616296,0.06438531,0.07189624,1.0629295,17.113136,3.189401182623352,0.9020245518550812,0.0,0.3231041967901454,1.0,0.002462,109.04670651189,-38.14232927107,5565035549733685120,3.1387195512647,-9.86624889552373,6.05159282273248,,189,17.130592,2.741908,0.8,Collinder_135,3686.845,109.04676055893,-38.14235600992
3817926584103424751,0,5565035858970600320,nan,nan,nan,16.714517555927113,18.353191859249836,15.424373225121235,nan,nan,nan,109.13556201033386,-38.1294724565516,3.2159225819256614,0.0778812,-9.51079361686926,6.351971745609177,0.08009378,0.091504835,1.7794311,16.714485,3.256994581925661,0.7325787844271614,0.0,0.3231041967901454,1.0,0.002538,109.13556361698,-38.12947319337,5565035858970600320,3.43219841233817,-9.36275392428816,6.35766464177077,,221,16.70685,2.8309803,0.7,Collinder_135,3366.1497,109.13561574701,-38.12950068752
3836064127915172988,0,5565043830428047104,nan,nan,nan,15.247086864929173,16.221288863666103,13.977103288670614,nan,nan,nan,107.57861225130789,-39.292705349093964,3.614096411671789,0.045686577,-9.62090566901123,7.744168170666284,0.054017607,0.05510263,1.8564827,15.237933666528765,3.654353411671789,0.5161461198616834,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3836064127915172988,0,5565043830431352192,nan,nan,nan,16.40159201323854,nan,nan,nan,nan,nan,107.57872865079484,-39.293052877536105,3.5515940543894033,0.055167153,-9.956247003147098,6.675627809220525,0.0912682,0.06963491,0.96845055,16.40156,3.6073500543894035,0.8979595535380752,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3836046535729139587,0,5565057849203658112,nan,nan,nan,17.765232805324665,19.537568913691317,16.47199059411379,nan,nan,nan,107.81945621848668,-38.983067243016166,3.629560966651601,0.087773465,-10.067182080005946,6.931473436742658,0.091019586,0.108720966,0.94921154,17.739609163439663,3.629560966651601,0.8240177777673365,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3854078526424665710,0,5565066537918834688,nan,nan,nan,19.038688280377347,21.2018003080656,17.652853408164205,nan,nan,nan,107.4477090332922,-38.994392551798796,3.635965990194801,0.19326524,-10.422726953097834,6.904152011263681,0.20665047,0.23531336,1.090479,19.013063163439664,3.6604949901948007,0.5823589588625367,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3854060934238625411,0,5565074960353220224,nan,nan,nan,17.402965863746246,19.08159433522136,16.170227169617284,nan,nan,nan,107.5964993021391,-38.82178438664492,3.2172184051166473,0.06792191,-9.417456831955452,6.325037926961507,0.07055132,0.079315305,0.98899704,17.402933,3.2560844051166473,0.7091661159839134,0.0,0.3231041967901454,1.0,0.00291,107.59650099719,-38.82178525334,5565074960353220224,3.13183930073581,-9.29850468736034,6.18014962911246,,244,17.421625,2.9051628,0.8,Collinder_135,3071.4849,107.59655302489,-38.82181249791
3836011351357054928,0,5565086844525966080,nan,nan,nan,11.220835964374547,11.475418809282326,10.809797318496875,nan,nan,nan,108.05553821044325,-38.81559374325163,3.4494370440924884,0.014316668,-10.312505094302205,6.526032242422598,0.01564252,0.01849544,0.9421286,11.220803,3.4768950440924886,0.980002151400305,0.0,0.3231041967901454,1.0,0.002655,108.05554002689,-38.81559470468,5565086844525966080,3.38811957219026,-10.4362870495321,6.3909036772344,14.8602311422264,214,11.223899,0.67269325,0.9,Collinder_135,6478.095,108.05559703402,-38.81562274785
0,0,5565090628392276224,nan,nan,nan,15.549860720917719,16.749868947321538,14.39715557722122,nan,nan,nan,108.00375934986431,-38.712162309815625,3.1815298098839055,0.1187332,-8.972292505790286,6.181861654881182,0.14075075,0.16462702,4.350892,15.549828,3.2216798098839057,0.4795545259417516,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
3836011351357067255,0,5565090628394288384,nan,nan,nan,15.077683402682457,16.32001141109213,13.91899655571963,nan,nan,nan,108.00316037162438,-38.71278949128339,3.6779429168539655,0.07104493,-10.126807074358783,6.136338675159289,0.081878945,0.09760798,3.5234313,15.07765,3.7180619168539653,0.6165333297411162,0.0,0.3231041967901454,1.0,,,,,,,,,,,,,,,,
