TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
44999952,CDIPS,8,PCA1,0.7389,0.0585,0.029
44999952,CDIPS,8,PCA1,0.3025,0.0649,0.029
44999952,CDIPS,8,PCA1,0.3077,0.2501,0.029
44999952,CDIPS,8,PCA2,0.3027,0.0471,0.0315
44999952,CDIPS,8,PCA2,0.7382,0.0488,0.0315
44999952,CDIPS,8,PCA2,0.3078,0.1518,0.0315
44999952,CDIPS,8,PCA3,0.7387,0.0326,0.0304
44999952,CDIPS,8,PCA3,0.3078,0.0509,0.0304
44999952,CDIPS,8,TFA1,0.7384,0.0416,0.0304
44999952,CDIPS,8,TFA1,0.313,0.059,0.0304
44999952,CDIPS,8,TFA1,0.3078,0.1991,0.0304
44999952,CDIPS,8,TFA2,0.3025,0.0333,0.0317
44999952,CDIPS,8,TFA2,0.3076,0.1069,0.0317
44999952,CDIPS,8,TFA3,0.3078,0.0417,0.0341
45049176,PATHOS,8,ap1_flux_cor,3.7464,0.079,0.0335
45049176,PATHOS,8,ap1_flux_cor,10.5444,0.1739,0.0335
45049176,PATHOS,8,ap1_flux_cor,27.0856,0.7589,0.0335
45049176,PATHOS,8,ap2_flux_cor,3.5348,0.042,0.0352
45049176,PATHOS,8,ap2_flux_cor,4.8463,0.1244,0.0352
45049176,PATHOS,8,ap2_flux_cor,11.0893,0.5315,0.0352
45049176,PATHOS,8,ap2_flux_cor,27.0856,0.7835,0.0352
45049176,PATHOS,8,ap3_flux_cor,3.5599,0.0415,0.0347
45049176,PATHOS,8,ap3_flux_cor,4.9016,0.1273,0.0347
45049176,PATHOS,8,ap3_flux_cor,11.0893,0.55,0.0347
45049176,PATHOS,8,ap3_flux_cor,26.8436,0.7856,0.0347
45049176,PATHOS,8,psf_flux_cor,5.29,0.0684,0.036
45049176,PATHOS,8,psf_flux_cor,3.5854,0.0989,0.036
45049176,PATHOS,8,psf_flux_cor,9.6317,0.2286,0.036
45049176,PATHOS,8,psf_flux_cor,32.6843,0.7704,0.036
45050711,CDIPS,8,PCA1,2.377,0.0311,0.0276
45050711,CDIPS,8,PCA1,2.7314,0.0383,0.0276
45050711,CDIPS,8,PCA1,0.7431,0.0399,0.0276
45050711,CDIPS,8,PCA1,3.6866,0.0535,0.0276
45050711,CDIPS,8,PCA1,0.8102,0.0557,0.0276
45050711,CDIPS,8,PCA1,4.6512,0.0904,0.0276
