target_name,provenance_name,flux_cols,sequence_number,obs_id,productFilename,fund_periods,fund_powers,sig_periods,sig_powers,sec_periods,sec_powers,thresholds,tics,num_sig_peaks,harm_types,clean60,clean30,clean10,clean,half,dbl,period_short,power_short,SpotEvol,MultiProt,Blended,Q,Q2,Q3,Select,Notes
113449635,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.5397,0.1873,2.5397,0.1873,-9999,-9999,0.028568,113449635,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
113449635,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.5991,0.0914,2.5991,0.0914,2.2778,0.0298,0.02917,113449635,1,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113449635,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.5505,0.0473,2.5505,0.0473,-9999,-9999,0.033224,113449635,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
113449635,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.557,0.6474,2.557,0.6474,2.2371,0.1917,0.029861,113449635,3,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,n,n,n,0,2,2,y,
113449635,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.5723,0.6068,2.5723,0.6068,3.0136,0.2845,0.028323,113449635,3,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113449635,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588232152708295424-0008-cam3-ccd2_tess_v01_llc.fits,2.5658,0.4206,2.5658,0.4206,1.5282,0.0532,0.028283,113449635,2,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113452181,CDIPS,TFA1,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7973,0.1286,0.7973,0.1286,0.7645,0.0438,0.030479,113452181,2,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113452181,CDIPS,TFA2,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7967,0.1068,0.7967,0.1068,0.8336,0.0596,0.029393,113452181,1,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113452181,CDIPS,TFA3,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7954,0.0442,0.7954,0.0442,-9999,-9999,0.036531,113452181,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
113452181,CDIPS,PCA1,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7965,0.1853,0.7965,0.1853,0.8325,0.06,0.027445,113452181,1,-,TRUE,FALSE,FALSE,FALSE,0,0,-99,-99,n,n,m,1,2,,y,
113452181,CDIPS,PCA2,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7963,0.1481,0.7963,0.1481,0.832,0.0385,0.028575,113452181,1,-,TRUE,TRUE,FALSE,FALSE,0,0,-99,-99,,,,,,,,
113452181,CDIPS,PCA3,8,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc,hlsp_cdips_tess_ffi_gaiatwo0005588237822065034624-0008-cam3-ccd2_tess_v01_llc.fits,0.7975,0.0572,0.7975,0.0572,-9999,-9999,0.034052,113452181,0,-,TRUE,TRUE,TRUE,TRUE,0,0,-99,-99,,,,,,,,
