TMASS_ID,UKIDSS_ID,GAIAEDR3_ID,GAIADR2_G,GAIADR2_BP,GAIADR2_RP,GAIAEDR3_G,GAIAEDR3_BP,GAIAEDR3_RP,GAIADR2_PARALLAX,GAIADR2_PARALLAX_ERROR,GAIADR2_RUWE,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_PARALLAX,GAIAEDR3_PARALLAX_ERROR,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PMRA_ERROR,GAIAEDR3_PMDEC_ERROR,GAIAEDR3_RUWE,GAIAEDR3_G_CORRECTED,GAIAEDR3_PARALLAX_CORRECTED,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,target,filter,cluster,S/N,Teff,logg,gamma,Ks,RV_1,e_RV,logL,ra_epoch2000_GES,dec_epoch2000_GES,PLX,e_PLX,VRA,e_VRA,VDec,e_VDec,RV_2,SRV,Gflag,prob_p,p_filter,angDist_Cantat-Gaudin,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,ra_epoch2000_Cantat-Gaudin,dec_epoch2000_Cantat-Gaudin
,,5534775787153586048,,,,17.013056,18.88946,15.724852,,,,120.16884464108,-39.75069882138,5.2576,0.0561,-23.342,15.097,27.799,0.063,1.032,17.013056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000736,120.16884889459,-39.75070094602,5534775787153586048,5.17805057541703,-23.3099719268022,15.0503883938542,,250,17.046091,3.087842,0.9,NGC_2451A,2994.3494,120.16897957483,-39.75076591929
,,5535669518305523584,,,,17.17119,18.888943,15.914157,,,,117.72071067926,-41.96302537952,5.2909,0.0583,-23.174,16.482,28.437,0.066,0.974,17.17119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002024,117.72071501651,-41.9630276653,5535669518305523584,5.24521639513017,-23.0917539899682,16.3801518923347,,237,17.198814,3.0078363,1.0,NGC_2451A,3059.067,117.72084919191,-41.96309863356
3223169958313864768,0,5535749576497065472,nan,nan,nan,15.413466122212721,16.78207553524642,14.257425161002393,nan,nan,nan,117.64831335610285,-41.2807094696726,5.281468799702434,0.024124045,-22.474600658859856,16.46228514769095,0.027890181,0.028347876,0.9496094,15.413433,5.323376799702435,0.43631541177368494,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001403,117.64831750385,-41.28071177746,5535749576497065472,5.26023480965312,-22.4150567340917,16.3900364194156,,242,15.4313135,2.5176325,1.0,NGC_2451A,3704.5767,117.64844627566,-41.28078263531
3277283522586438035,0,5535836128675188608,nan,nan,nan,16.682311732724706,18.503266808037626,15.401181366016921,nan,nan,nan,116.30167387994541,-41.57568059355692,5.42303894338604,0.04543689,-22.292203207215955,16.995148808486658,0.05173411,0.056172173,1.0076357,16.682278,5.46788494338604,0.35964182058000466,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.004854,116.30167802954,-41.57568293118,5535836128675188608,5.3456728401516,-22.196564535837,17.2992390432634,,224,16.7132,3.1496534,1.0,NGC_2451A,2940.0884,116.30180632112,-41.57575612748
3277248338214404086,0,5535941230816590592,nan,nan,nan,18.639886819447092,20.55511541853764,17.237009227689413,nan,nan,nan,116.61595272471838,-41.19806644594339,5.254827404226097,0.13694741,-22.437231053674445,16.969967425241528,0.14161716,0.15385684,0.9841362,18.639854,5.285426404226096,0.35689157744647393,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295280328909930083,0,5535986452532465280,nan,nan,nan,15.314586969186124,16.635296145856337,14.178236072575398,nan,nan,nan,116.34704382243844,-41.14121793706493,5.030966879481448,0.021808224,-20.605978436788227,15.553036661465224,0.023688706,0.025389452,1.0300949,15.314554,5.071982879481448,1.0,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001165,116.34704765927,-41.14122008904,5535986452532465280,5.06739259217124,-20.6356226329289,15.489005423667,,229,15.331205,2.4536285,1.0,NGC_2451A,3816.4136,116.34716543099,-41.14128706161
3295280328909950942,0,5535987758199122432,nan,nan,nan,18.9062614878041,21.29709077566957,17.488941843512222,nan,nan,nan,116.37560163896796,-41.07945837427823,5.533194868912554,0.16413674,-21.861529491211584,17.456048351736285,0.16299908,0.17671484,1.0318397,18.880638163439663,5.533194868912554,0.3199704169494441,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295245144537847270,0,5536020399954569984,nan,nan,nan,16.876534780232078,18.63105630748639,15.626655327624674,nan,nan,nan,116.60459211699043,-40.80721418500391,5.244889629128078,0.049662564,-21.706077616376405,16.497338227884015,0.0520803,0.057233185,0.9739031,16.876501,5.287393629128078,0.5884322217456788,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001721,116.6045960995,-40.80721646692,5536020399954569984,5.17753184244099,-21.6955245017223,16.6100242591291,,197,16.90573,2.9757404,0.9,NGC_2451A,3024.192,116.60471957099,-40.80728750644
3295227552351808379,0,5536023488027414016,nan,nan,nan,16.631915146941296,18.33911838954373,15.379629667074594,nan,nan,nan,116.91201278074223,-40.7900272324457,5.416882656506599,0.04855292,-22.730940993952014,16.497867206046962,0.050081585,0.060399946,1.0257896,16.631882,5.459897656506598,0.3724720148502604,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.010883,116.91201697606,-40.79002948074,5536023488027414016,5.41791635086676,-22.9344808149628,15.8372685404822,,211,16.662455,2.968237,1.0,NGC_2451A,3038.9104,116.912146218,-40.79010055622
3295227552351813322,0,5536027168823124096,nan,nan,nan,16.39515216603481,17.982524710526967,15.10483737450998,nan,nan,nan,116.94206085451124,-40.61443476656848,5.355032975443615,0.0405761,-22.674856191866922,15.844619570967943,0.041836847,0.049753137,1.0562383,16.395119,5.396786975443615,0.4755863159936968,0.0,0.4583971675832264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.004371,116.94206500894,-40.61443694777,5536027168823124096,5.36949587845957,-22.6381814330643,15.5693834241942,,216,16.421337,2.8538446,0.8,NGC_2451A,3237.2104,116.94219361208,-40.61450518702
